"39641","Professor PA Norreys","4"
"91121","Professor H Wilson","5"
"-34927","Professor RG Evans","4"
"-413757","Dr CP Ridgers","5"
"64981","Dr M Ashworth","5"
"106738","Dr CM Roach","4"
"-215824","Professor AR Bell","4"
"-190063","Dr S Laizet","1"
"-398776","Dr W Brevis","4"
"-480648","Dr Y Hwang","2"
"125954","Professor A Papachristodoulou","5"
"729","Professor CJ Baker","10"
"-256643","Dr H Hemida","4"
"107662","Professor M Sterling","4"
"-25835","Dr FX Li","4"
"-91536","Dr AD Quinn","10"
"94884","Dr LJM Vandeperre","3"
"72898","Professor P Bowen","6"
"-561834","Dr R Deiterding","2"
"5028","Professor P Ewart","5"
"128730","Professor NR Green","4"
"9333","Professor WE Lee","4"
"3113","Professor AC Cocks","8"
"41970","Dr JL Summers","4"
"-171947","Dr IT Todorov","5"
"-114483","Professor R Qin","4"
"-79678","Dr M Wilson","8"
"-164791","Dr AJ Revell","4"
"12426","Professor TN Phillips","4"
"35009","Professor PV Coveney","7"
"126084","Professor Y Zhang","6"
"118390","Dr M Juniper","5"
"89680","Professor A Juel","2"
"90662","Professor S Tobias","2"
"69466","Professor I Gursul","2"
"-16562","Dr M Carravetta","2"
"-73807","Dr PTF Williamson","2"
"-21046","Dr I Kuprov","2"
"-461823","Dr D Pomerleano","2"
"-507530","Professor S Shkoller","7"
"14887","Professor A Spence","7"
"5838","Dr J Gibbons","7"
"48363","Professor S Nazarenko","7"
"68929","Professor JM Robbins","7"
"-462409","Dr A R Fink","2"
"-188939","Dr AE Parker","2"
"10222","Professor PP Martin","3"
"1021","Professor LJ Mason","2"
"47268","Professor M Pollicott","3"
"-413737","Dr M Gurski","1"
"-465373","Dr A Saha","1"
"-524334","Dr A Bouganis","1"
"-111274","Professor T Dokchitser","1"
"-524456","Dr J A Thorne","1"
"-252552","Dr P Cascini","1"
"71593","Professor A Skorobogatov","1"
"-169388","Dr AN Craw","8"
"-520469","Dr T L Kelly","2"
"-164375","Dr AD Brooke-Taylor","2"
"-487516","Dr X Li","2"
"-40872","Dr O Chalykh","2"
"125980","Professor I Smith","2"
"56915","Professor M Farber","1"
"75228","Professor E Ferapontov","2"
"45758","Professor M Nazarov","1"
"-211622","Dr A Haynes","2"
"68951","Professor A Corti","1"
"13152","Professor M Reid","1"
"132325","Professor M Gross","1"
"-367512","Dr T Coates","1"
"-509543","Dr N Petrosyan","1"
"103618","Professor A Hone","2"
"-520216","Dr A Felikson","1"
"33069","Professor S Linton","2"
"-438398","Dr A Konovalov","2"
"-493886","Dr A Bartel","1"
"-495950","Dr J Gramain","1"
"-304467","Dr C Heunen","5"
"-100419","Dr DJ Barnes","1"
"-468182","Dr A Prendergast","1"
"-192571","Dr D Schuetz","9"
"-26391","Dr D Wirosoetisno","9"
"-26383","Professor N Peyerimhoff","9"
"81425","Professor J Parker","9"
"93609","Professor J Chuang","1"
"96056","Professor A Lazarev","1"
"-118821","Dr O Maleva","2"
"-503502","Dr E Zorin","1"
"-519610","Professor D Ciubotaru","1"
"-534978","Dr A Rizzardo","1"
"42239","Professor M Singer","2"
"91668","Professor R Thomas","1"
"55347","Dr K Rietsch","1"
"68565","Professor AE Kyprianou","5"
"-119079","Professor S Wood","4"
"-221519","Professor PA Milewski","5"
"32020","Professor B Bowditch","1"
