"-454905","mills, dr tb","1","£3,531,769.00"
"51021","mckinnon, professor a","1","£4,423,783.00"
"61384","buzza, dr dma","1","£654,934.00"
"-229041","hanson, professor bc","4","£13,458,770.00"
"-183025","shen, dr y","2","£1,976,430.00"
"114387","tao, professor s","1","£263,769.00"
"70712","lee, dr j","1","£1,274,437.00"
"126551","sisoev, dr gm","1","£296,770.00"
"-165982","grassl, dr p","1","£1,339,398.00"
"-494043","krishnaswami, dr n","2","£461,206.00"
"95035","likhtman, professor a","1","£292,807.00"
"-15114","sun, dr c","4","£5,434,154.00"
"11473","needs, professor rj","1","£2,980,631.00"
"59254","zhu, professor z","1","£2,041,122.00"
"132855","rogers, professor ac","3","£1,859,477.00"
"-187917","humphries, dr ac","1","£372,573.00"
"-28827","gross, dr r","2","£14,295,942.00"
"-476012","kumar, dr v","1","£218,964.00"
"-113826","graham, professor dj","1","£613,965.00"
"87331","roberts, professor c","2","£5,588,560.00"
"-283244","megone, professor c","1","£977,833.00"
"13313","ridgway, professor k","4","£8,336,858.00"
"1373","biggs, professor n","1","£150,000.00"
"36473","martin, dr pj","1","£748,791.00"
"-391575","bidaut, professor l","1","£812,350.00"
"-10157","bracewell, dr dg","5","£10,134,018.00"
"37889","bell, dr r","1","£4,559,973.00"
"71579","brodzki, professor j","1","£1,218,040.00"
"72878","nicklin, professor c","1","£1,076,043.00"
"-521838","bustard, dr j d","1","£5,032,504.00"
"31516","taylor, professor r","2","£759,479.00"
"94804","brown, professor sp","2","£4,334,357.00"
"28958","marletta, professor m","1","£430,833.00"
"80313","rashid, professor a","4","£2,486,358.00"
"-503867","newton, dr mj","1","£477,577.00"
"11644","nolan, professor p","1","£459,893.00"
"16055","tucker, professor jv","1","£993,796.00"
"101342","song, professor am","1","£709,834.00"
"-396159","patelli, dr e","2","£4,208,711.00"
"70825","begg, dr s","2","£720,923.00"
"79744","leimkuhler, professor b","1","£652,378.00"
"38914","anderson, professor j","2","£4,838,341.00"
"-494988","peets, dr s","1","£89,889.00"
"-11742","swierzbinski, professor j","1","£441,734.00"
"14861","sparks, professor l","1","£612,744.00"
"43140","batty, professor m","1","£4,000,602.00"
"28423","moore, professor hdm","1","£663,557.00"
"106056","brown, dr m","3","£1,430,506.00"
"94512","bearpark, professor m","2","£5,911,171.00"
"43092","zhang, professor y","1","£487,680.00"
"27091","borthwick, professor agl","1","£745,542.00"
"100731","rossiter, professor jm","3","£8,004,497.00"
"125954","papachristodoulou, professor a","4","£6,523,570.00"
"-117367","myers, dr l","1","£1,010,584.00"
"70440","milodowski, mr ae","1","£3,019,070.00"
"80130","currell, professor f","1","£1,228,231.00"
"7223","hewitt, professor gf","4","£7,378,824.00"
"-419368","raveendran nair, dr r","2","£637,010.00"
"-80086","morgan, professor ms","1","£939,389.00"
"-26007","langbein, professor ww","1","£863,236.00"
"49422","richards, professor k","1","£4,607,765.00"
"-188326","plans, dr d","1","£396,170.00"
"-294039","jeon, dr j","1","£980,362.00"
"47966","jin, professor z","1","£2,884,739.00"
"125130","wu, dr h","1","£487,539.00"
"-420474","jimenez-melero, dr e","4","£2,253,372.00"
"98013","hunt, professor g","1","£4,173,134.00"
"96613","cooper, professor n","2","£3,740,075.00"
"-411498","schrader, dr m","1","£423,831.00"
"111729","richardson, dr ts","1","£753,510.00"
"78971","mccoy, professor cp","1","£395,371.00"
"27310","padgett, professor m","3","£13,520,383.00"
"-410911","gammon, dr r","1","£843,943.00"
"-113177","hawke, dr i","1","£3,941,016.00"
"11453","neailey, dr k","1","£1,250,000.00"
"-390519","vijayaraghavan, dr a","1","£2,839,350.00"
"-253159","klein, professor n","2","£2,493,795.00"
"-186974","herzog, dr m","1","£4,173,134.00"
"1080","beach, professor m","4","£11,769,758.00"
"-161216","martin, professor jb","1","£309,791.00"
"65573","hierons, professor r","1","£332,691.00"
"52780","matousek, professor p","1","£725,631.00"
"46872","grieve, professor bd","1","£2,839,350.00"
