Id	Label	Num
25224	professor g price	3	
13526	dr  rodger	0	
6831	professor kdm harris	2	
2984	professor j clarke	0	
43548	professor a harker	0	
44257	professor j harding	6	
7332	professor i hillier	0	
93270	professor pm rodger	1	
213	professor nl allan	4	
12751	professor sl price	2	
21422	professor sc parker	8	
-460313	professor d tildesley	0	
33127	dr n allan	0	
35916	dr ra jackson	0	
29332	dr j gale	0	
36598	dr v saunders	0	
36599	dr m leslie	0	
36617	professor j corish	0	
36618	dr m turpin	0	
36619	dr s carr	0	
73544	dr  smith	0	
36600	dr w smith	0	
34418	professor w smith	0	
13192	professor ca reynolds	0	
13233	professor wg richards	0	
53214	professor wg richards	0	
17139	professor i williams	0	
13385	professor m a robb	5	
40202	dr p sherwood	5	
28648	dr ra black	5	
50320	professor r williams	2	
7698	dr tv how	0	
65698	dr jp oakley	0	
15576	professor cj taylor	6	
17634	professor c xydeas	0	
28314	professor j wiltshire	0	
85100	professor g thompson	0	
6128	dr d gorham	0	
46024	dr s dann	0	
44380	professor k hellgardt	6	
93829	professor g lowe	0	
916	professor p barnes	0	
45495	professor ra lewis	0	
39752	professor rj cernik	17	
5241	professor jl finney	0	
39907	dr g bushnell-wye	0	
16526	professor b warboys	0	
4702	dr da edwards	0	
5628	professor s b furber	9	
31938	mr s bennett	0	
5934	dr d gillingwater	0	
10525	professor j mcgeehan	0	
11690	dr g norton	0	
3017	professor t claypole	4	
5821	professor dt gethin	4	
40177	dr ir gould	0	
12121	dr n parsonage	0	
11589	dr d nicholson	0	
14094	professor b sealy	0	
82637	professor p coleman	0	
83558	professor sir c hoare	0	
27995	professor j he	0	
13278	professor a richardson	0	
27937	professor aj peyton	4	
4352	professor a dorey	0	
16952	dr j whitelaw	0	
14920	dr s spraggett	0	
28895	professor p foyer	0	
14277	professor d sheldon	0	
45588	professor d sheldon	0	
55720	dr m jobson	4	
12618	professor jm porter	0	
54643	dr d gyi	0	
2627	professor k case	4	
49974	dr c chen	0	
41610	professor rp cooper	0	
21513	professor t shallice	0	
5483	professor jp fox	0	
46590	professor cb jones	2	
652	professor jm bacon	0	
11073	dr j moody	0	
57135	dr km moody	0	
22834	dr di jones	0	
10140	dr w marnane	0	
5310	professor pj fleming	2	
1532	professor h block	0	
21250	professor j akhavan	0	
21978	dr w boyle	0	
34505	professor a j orr-ewing	2	
12072	professor df parker	0	
28055	professor d peric	0	
11943	professor dr owen	0	
5010	professor r evans	0	
17189	professor dj williams	6	
5966	mr h glaser	0	
4049	professor d de roure	9	
37044	professor c pannell	0	
72851	professor p townsend	0	
13627	dr k ross	0	
21678	professor j west	0	
44825	dr j west	0	
4320	professor gb donaldson	0	
12279	dr cm pegrum	0	
11746	professor k odonnell	1	
8650	professor ph kaye	0	
44891	professor ja hunt	0	
58217	mr g gilling-smith	0	
51894	professor m searle	1	
52064	dr ca laughton	3	
7021	professor be hayden	5	
15930	professor h tong	0	
39564	professor q yao	1	
34187	professor ar champneys	7	
27122	professor sj hogan	5	
12486	professor m pilling	0	
