Source	Target	Type	Weight	Val
6	61	Undirected	1.0	49710
24	126	Undirected	1.0	94143
48	84	Undirected	4.0	214578
57	73	Undirected	1.0	82472
48	63	Undirected	1.0	129844
128	129	Undirected	4.0	584936
70	72	Undirected	2.0	400371
70	129	Undirected	1.0	205553
32	88	Undirected	8.0	2470779
16	21	Undirected	3.0	313717
2	129	Undirected	1.0	187563
4	16	Undirected	1.0	177301
57	58	Undirected	3.0	395305
75	116	Undirected	1.0	600
33	60	Undirected	1.0	53502
95	115	Undirected	12.0	930456
72	115	Undirected	13.0	1387155
27	42	Undirected	2.0	305844
88	95	Undirected	1.0	95575
32	90	Undirected	7.0	612811
8	94	Undirected	3.0	175510
75	90	Undirected	5.0	177156
39	124	Undirected	2.0	311559
16	54	Undirected	1.0	71141
92	102	Undirected	1.0	230458
30	72	Undirected	10.0	35131969
30	73	Undirected	18.0	38569284
64	73	Undirected	2.0	2083924
64	95	Undirected	5.0	3674461
73	95	Undirected	12.0	31559362
30	64	Undirected	2.0	1027120
44	64	Undirected	1.0	966344
44	95	Undirected	11.0	33584965
33	41	Undirected	2.0	507891
33	39	Undirected	3.0	745306
39	41	Undirected	2.0	507891
37	60	Undirected	5.0	951445
37	114	Undirected	4.0	795781
20	74	Undirected	5.0	432572
115	118	Undirected	4.0	505989
43	72	Undirected	2.0	250277
20	35	Undirected	1.0	71763
35	72	Undirected	3.0	1268996
4	71	Undirected	3.0	297604
5	59	Undirected	2.0	307396
33	101	Undirected	1.0	60526
41	78	Undirected	3.0	243319
5	110	Undirected	2.0	51857
30	44	Undirected	4.0	15817855
44	73	Undirected	14.0	24756440
2	32	Undirected	1.0	114962
31	68	Undirected	3.0	299435
62	123	Undirected	4.0	1510289
42	72	Undirected	4.0	496867
44	71	Undirected	8.0	22961041
32	53	Undirected	2.0	2309825
32	77	Undirected	2.0	2309825
53	75	Undirected	2.0	2309825
53	88	Undirected	2.0	2309825
75	88	Undirected	10.0	4881491
77	121	Undirected	2.0	2309825
3	32	Undirected	3.0	2387514
32	121	Undirected	3.0	2360294
75	121	Undirected	2.0	2309825
3	76	Undirected	2.0	2263562
76	88	Undirected	3.0	2287562
31	62	Undirected	1.0	156423
62	130	Undirected	1.0	92650
2	63	Undirected	2.0	369405
35	83	Undirected	1.0	379691
31	60	Undirected	2.0	264829
60	69	Undirected	2.0	471473
48	61	Undirected	2.0	125846
61	78	Undirected	1.0	36021
110	124	Undirected	3.0	256736
7	19	Undirected	6.0	513194
10	71	Undirected	3.0	528749
34	48	Undirected	1.0	48000
28	61	Undirected	2.0	326664
61	128	Undirected	1.0	143956
20	114	Undirected	1.0	144748
55	114	Undirected	1.0	144748
92	108	Undirected	5.0	593109
19	21	Undirected	6.0	594305
49	119	Undirected	1.0	38495
14	115	Undirected	4.0	580782
4	19	Undirected	2.0	177314
10	73	Undirected	4.0	446989
7	10	Undirected	4.0	359062
19	42	Undirected	2.0	257195
71	74	Undirected	10.0	1595326
11	61	Undirected	1.0	114667
8	54	Undirected	5.0	3115095
18	54	Undirected	10.0	4334429
64	71	Undirected	8.0	2309854
48	123	Undirected	3.0	273624
52	72	Undirected	4.0	296203
30	105	Undirected	5.0	1110608
102	120	Undirected	3.0	497196
32	72	Undirected	4.0	434505
68	114	Undirected	2.0	712807
36	70	Undirected	3.0	928197
18	19	Undirected	10.0	5897413
38	90	Undirected	1.0	52668
88	None	Undirected	1.0	52668
32	61	Undirected	1.0	176276
33	50	Undirected	1.0	181246
50	78	Undirected	1.0	181246
97	109	Undirected	6.0	593450
51	113	Undirected	3.0	339231
28	63	Undirected	1.0	77062
44	61	Undirected	8.0	10629050
36	84	Undirected	3.0	810973
73	115	Undirected	9.0	1172251
20	34	Undirected	3.0	81128
2	51	Undirected	4.0	400936
27	84	Undirected	2.0	93758
34	72	Undirected	5.0	1314542
55	91	Undirected	7.0	869116
102	103	Undirected	1.0	345303
103	104	Undirected	2.0	400823
59	70	Undirected	1.0	204770
17	64	Undirected	1.0	144137
36	61	Undirected	1.0	195721
95	108	Undirected	2.0	2261279
44	108	Undirected	6.0	7788813
80	122	Undirected	1.0	52181
33	62	Undirected	4.0	310530
59	121	Undirected	1.0	51943
32	80	Undirected	1.0	50469
80	88	Undirected	1.0	50469
80	116	Undirected	3.0	204395
90	116	Undirected	1.0	50469
116	121	Undirected	1.0	50469
38	None	Undirected	1.0	51697
64	117	Undirected	3.0	1374194
61	88	Undirected	1.0	173280
113	129	Undirected	4.0	570481
20	73	Undirected	2.0	130314
4	84	Undirected	1.0	131194
61	105	Undirected	1.0	545597
50	123	Undirected	1.0	186840
67	94	Undirected	1.0	52230
32	51	Undirected	3.0	226218
72	91	Undirected	1.0	51015
54	64	Undirected	2.0	1790360
5	92	Undirected	1.0	195228
44	81	Undirected	1.0	195228
44	127	Undirected	3.0	8719264
92	127	Undirected	1.0	195228
16	42	Undirected	3.0	328912
48	51	Undirected	4.0	306052
82	91	Undirected	1.0	123512
88	100	Undirected	1.0	6000
53	114	Undirected	4.0	496641
28	30	Undirected	8.0	6353718
40	95	Undirected	3.0	335789
2	96	Undirected	3.0	421251
