Id	Label	Num	Val
32348	markarian, professor g	2	135505
11841	oliver, professor n	2	225898
43735	williams, dr jar	3	594861
2253	burch, professor r	18	2344039
34369	smith, mr m	1	35790
36580	pym, professor d	4	256503
10104	mansfield, professor p	1	217987
40067	gawne, professor dt	10	844635
6780	hardy, dr sj	3	271583
13441	roberts, professor s	7	571158
10548	mcgregor, professor d	5	571767
28803	mothersdale, mrs j	2	121091
323	anderson, professor cw	5	386663
41372	steed, professor jw	1	23629
12535	plaut, dr a	3	800654
355	andonovic, professor i	7	811347
12056	parker, dr jm	1	142053
40812	wilson, professor j	2	267432
14937	spyrou, professor nm	2	1120016
57632	smith, professor pgr	3	2507694
15059	stentiford, professor e	2	139120
31879	anderson, professor jc	7	323639
29818	coates, professor r	3	143704
40875	rimmer, dr p	1	157177
1182	bell, professor sej	4	332021
-2448	knowles, professor k	1	50256
32398	armitage, dr a	1	136254
65692	handley, professor j	1	178325
48520	doody, ms c	1	180898
30486	bailey, professor c	4	561538
43594	blyth, dr c	1	3093556
9138	lancefield, dr d	5	842850
37356	benhadj-dijilali, dr r	1	119152
-181661	bartlett, dr k	1	135700
9691	lonzarich, professor gg	5	501187
5247	firoozian, dr r	2	171758
16280	vernon, dr j	1	115000
16398	walker, professor a	15	5338701
4239	dixon, professor n	4	250054
45711	ridley, dr a	5	581379
41776	bradley, dr di	3	1007312
36306	carr, dr c	1	131691
49800	hine, professor jp	2	387333
93796	siebert, dr j	5	821760
41844	huang, professor y	1	168985
11620	nix, dr r	2	200345
17612	wyn-jones, professor e	1	100354
-65132	elliott, professor gf	1	160522
21646	dawson, professor p	8	1801045
8523	jones, professor r	14	1362166
5121	fawcett, dr j	4	564651
11690	norton, dr g	5	477859
14874	spedding, professor a	2	244785
3394	cottis, professor ra	5	415699
61437	broderick, dr n	1	122015
87426	rao, professor r	1	186494
48970	honary, professor f	1	108593
3113	cocks, professor ac	11	1174731
43886	giles, professor m	7	984170
2294	burland, professor j	8	1258755
34655	garnett, miss n	1	73511
21394	hird, dr m	9	933488
16512	walton, dr d	5	576177
41232	smith, professor nj	3	207096
13057	raynes, dr w	2	233067
1065	baxter, miss l	1	102850
30956	rodgers, mr e	1	127890
49287	parker, dr k	1	223325
15594	tear, dr sp	5	325017
40527	jensen, dr j	1	172270
14935	spurrier, dr j	6	314332
11778	o'neill, professor m	8	1897473
12239	pearl, dr l	1	117500
12256	pearson, professor d	2	200226
21261	cook, dr g	6	734032
48930	staggs, dr jej	2	286024
32299	polack, dr f	1	39212
75481	martin, professor a	1	196153
254	allen, professor n	1	147648
54564	best, professor s	1	158322
443	armour, professor d	8	660144
38856	fernando, dr us	1	169828
868	barbour, dr i	1	74765
21300	gaskell, professor ph	18	1755080
38712	kucernak, professor a	4	692463
1425	birdsall, dr d	1	107949
64484	smith, ms j	6	622437
4039	de la rue, emeritus professor r	20	8679990
14653	smith, professor k	1	50225
6925	harvey, professor a	1	47202
39972	luo, professor z	2	406783
3476	crabb, dr m	1	2816
54770	whittaker, professor dm	8	985890
-215824	bell, professor ar	10	1036407
66321	cochrane, dr rf	1	204770
56138	shikhmurzaev, professor y	1	12000
32330	lowe, professor d	4	812909
721	baird, dr peg	6	1125270
682	bailes, professor p	2	192875
17665	yeatman, professor em	3	360192
627	awbi, professor h	2	237804
9674	long, dr c	7	814182
21589	sherriff, dr m	1	128872
31363	culkin, professor n	1	112111
81125	weir, professor d	1	242836
8062	irving, professor ac	1	74765
11510	newborough, professor m	3	426859
