"bioenergy","fuel cell technologies","10"
"economics","energy efficiency","4"
"economics","sustainable energy vectors","1"
"fuel cell technologies","sustainable energy vectors","21"
"catalysis & applied catalysis","microsystems","23"
"design of process systems","microsystems","22"
"gas & solution phase reactions","microsystems","20"
"condensed matter physics","materials characterisation","29"
"condensed matter physics","surfaces & interfaces","6"
"magnetism/magnetic phenomena","surfaces & interfaces","11"
"biophysics","complex fluids & soft solids","19"
"complex fluids & soft solids","condensed matter physics","7"
"materials characterisation","sustainable energy vectors","9"
"manufact. enterprise ops& mgmt","optical communications","5"
"networks & distributed systems","optical communications","10"
"bioelectronic devices","electronic devices & subsys.","10"
"bioelectronic devices","materials synthesis & growth","1"
"bioelectronic devices","optical devices & subsystems","7"
"bioelectronic devices","optoelect. devices & circuits","10"
"design & testing technology","displays","2"
"design & testing technology","lasers & optics","3"
"design & testing technology","optical communications","2"
"design & testing technology","optical phenomena","2"
"design & testing technology","rf & microwave technology","3"
"displays","lasers & optics","5"
"displays","optical communications","5"
"displays","optical phenomena","3"
"displays","rf & microwave technology","1"
"electronic devices & subsys.","optical communications","8"
"electronic devices & subsys.","optical phenomena","4"
"electronic devices & subsys.","rf & microwave technology","11"
"lasers & optics","optical communications","10"
"lasers & optics","optical phenomena","19"
"lasers & optics","rf & microwave technology","3"
"materials synthesis & growth","optical devices & subsystems","17"
"optical communications","optical devices & subsystems","15"
"optical devices & subsystems","optical phenomena","14"
"optical phenomena","optoelect. devices & circuits","16"
"biomaterials","med.instrument.device& equip.","23"
"analytical science","materials synthesis & growth","17"
"asymmetric chemistry","materials synthesis & growth","1"
"digital signal processing","instrumentation eng. & dev.","6"
"image & vision computing","robotics & autonomy","7"
"instrumentation eng. & dev.","optoelect. devices & circuits","7"
"optoelect. devices & circuits","quantum optics & information","15"
"catalysis & applied catalysis","materials characterisation","24"
"chemical synthetic methodology","materials characterisation","13"
"design of process systems","materials characterisation","14"
"building ops & management","design & testing technology","6"
"building ops & management","networks & distributed systems","6"
"building ops & management","robotics & autonomy","5"
"design & testing technology","digital signal processing","2"
"design & testing technology","robotics & autonomy","7"
"digital signal processing","networks & distributed systems","14"
"networks & distributed systems","robotics & autonomy","9"
"robotics & autonomy","urban & land management","6"
"electronic devices & subsys.","materials characterisation","21"
"materials characterisation","optical devices & subsystems","15"
"materials processing","materials testing & eng.","23"
"aerodynamics","design & testing technology","1"
"aerodynamics","manufacturing machine & plant","2"
"aerodynamics","materials processing","6"
"continuum mechanics","design & testing technology","1"
"continuum mechanics","manufacturing machine & plant","2"
"continuum mechanics","materials processing","3"
"design & testing technology","manufact. enterprise ops& mgmt","14"
"design & testing technology","materials characterisation","12"
"design & testing technology","materials testing & eng.","12"
"manufact. enterprise ops& mgmt","materials testing & eng.","9"
"manufacturing machine & plant","materials testing & eng.","34"
"chemical structure","co-ordination chemistry","13"
"chemical structure","surfaces & interfaces","10"
"co-ordination chemistry","surfaces & interfaces","6"
"artificial intelligence","composition","3"
"artificial intelligence","digital signal processing","10"
"artificial intelligence","image & vision computing","24"
"artificial intelligence","multimedia","7"
"artificial intelligence","musical performance","3"
"composition","digital signal processing","2"
"composition","image & vision computing","3"
"composition","multimedia","3"
"composition","musical performance","3"
"computer graphics & visual.","human-computer interactions","23"
"computer graphics & visual.","information & knowledge mgmt","14"
"computer graphics & visual.","music & acoustic technology","4"
"digital signal processing","human-computer interactions","8"
