> Number and value of grants in each sub-community

- Community 1.1:    52 £5,878,417.00
- Community 1.2:     6 £1,322,903.00
- Community 1.3:    27 £2,510,353.00
- Community 1.4:    18 £2,410,910.00
- Community 1.5:     8 £565,570.00
- Community 1.6:    10 £2,223,891.00
- Community 1.7:    65 £6,829,555.00

- Total:           186 £21,741,599.00
- Total (unique):  168 £20,464,183.00
