"GR/N26524/01","[['regan, professor ph', '43651']]"
"GR/N26791/01","[['brown, professor p', '2106']]"
"GR/N29051/01","[['shrivastava, professor s', '46433']]"
"GR/N29143/01","[['aghvami, professor ah', '106']]"
"GR/N29969/01","[['yao, professor x', '76174'], ['poli, professor r', '52545'], ['miller, dr jf', '77943']]"
"GR/N28917/01","[['skellern, dr gg', '52407'], ['watson, dr dg', '29552']]"
"GR/N26722/01","[['adams, professor m', '42440'], ['vickers, dr aj', '16290'], ['balkan, professor n', '783']]"
"GR/N26753/01","[['mcginnity, professor tm', '77459'], ['maguire, professor l', '79400']]"
"GR/M66370/01","[['fioravanti, dr d', '66614']]"
"GR/M70476/01","[['hooley, dr ca', '66895']]"
"GR/N32228/01","[['hall, professor p', '6625']]"
"GR/N22816/01","[['hall, professor d', '6619']]"
"GR/N18567/01","[['payne, professor mc', '12204']]"
"GR/N17287/01","[['shekunov, dr b', '41840']]"
"GR/N03358/01","[['jackson, professor g', '8108']]"
"GR/R20113/01","[['greig, dr ar', '6378']]"
"GR/R04386/01","[['driscoll, professor jl', '39732'], ['caplin, professor ad', '2545'], ['cohen, professor lf', '44683']]"
"GR/R04423/01","[['glowacki, professor baj', '51123'], ['evetts, professor j', '5025']]"
"GR/R04386/02","[['driscoll, professor jl', '39732'], ['caplin, professor ad', '2545'], ['cohen, professor lf', '44683']]"
"GR/N02825/01","[['palmer, professor re', '12009']]"
"GR/N38312/01","[['poliakoff, professor m', '12558']]"
"GR/N38787/01","[['bailey, professor pd', '27183']]"
"GR/N38787/02","[['bailey, professor pd', '27183']]"
"GR/N08704/01","[['hand, professor d', '6714']]"
"GR/N36608/01","[['barrett, professor t', '952']]"
"GR/N23592/01","[['parish, professor d', '12034']]"
"GR/N23400/01","[['stoneham, professor am', '39315'], ['ford, dr i', '45547'], ['ford, professor ij', '85810']]"
"GR/R20410/01","[['bochmann, professor m', '1571']]"
"GR/R10240/01","[['mann, professor s', '10082']]"
"GR/N65875/01","[["o'neill, professor p", '61972']]"
"GR/N15696/01","[['reynolds, dr p', '58574'], ['van duijneveldt, dr js', '52231']]"
"GR/R11674/01","[['rimmer, professor s', '37709']]"
"GR/R22735/01","[['field, professor r', '34648']]"
"GR/R03952/01","[['moody, professor cj', '11076']]"
"GR/N27323/01","[['king, professor a', '40102']]"
"GR/N38244/01","[['howdle, professor s', '27411']]"
"GR/N22502/01","[['dyer, professor p', '4600']]"
"GR/N06076/01","[['edwards, professor p', '4719']]"
"GR/R01316/01","[['moore, dr j', '11092']]"
"GR/N17225/01","[['lewis, professor c', '48587']]"
"GR/N24452/01","[['marsden, professor sp', '39404'], ['griffith, professor w', '6406']]"
"GR/N02832/01","[['dodson, professor mm', '4287']]"
"GR/R00142/01","[['hillier, professor i', '7332']]"
"GR/N64892/01","[['gibson, professor v', '40649']]"
"GR/N63703/01","[['owen, professor j', '26031']]"
"GR/R16228/01","[['haddleton, professor dm', '32023']]"
"GR/R12077/01","[['weller, professor m', '16783']]"
"GR/N24261/01","[['padgett, professor m', '27310']]"
"GR/N65578/01","[['clark, professor jh', '2953']]"
"GR/N03778/01","[['clint, dr jh', '36236']]"
"GR/R19113/01","[['hutchings, professor g', '7937']]"
"GR/N38992/01","[['hillier, professor i', '7332']]"
"GR/N12022/01","[['allemann, professor rk', '127902']]"
"GR/R13159/01","[['friend, professor sir r', '5587']]"
"GR/N19984/01","[['bowker, professor m', '32124']]"
"GR/N23837/01","[['quirke, professor n', '-286983'], ['nicholson, dr d', '11589']]"
"GR/R13821/01","[['dunn, professor mh', '4553']]"
"GR/N14484/01","[['donald dbe frs, professor a', '4315']]"
"GR/R16365/01","[['burch, professor r', '2253']]"
"GR/N30743/01","[['motherwell, professor wb', '11262']]"
"GR/R19502/01","[['abraham, professor h', '45099']]"
"GR/N24537/01","[['richardson, professor dj', '41202']]"
"GR/N24940/01","[['pitt, professor j', '45640']]"
"GR/M72081/01","[['tucker, professor rw', '16056']]"
"GR/R14668/01","[['phillips, professor rt', '12423']]"
"GR/N06311/01","[['anderson, professor p', '76588'], ['johnston, mr i', '76672']]"
"EP/E017215/1","[['krasnogor, professor n', '110493'], ['williams, professor p', '92000'], ['camara, professor m', '-16231']]"
"EP/E050565/1","[['ruiz, dr pd', '126212']]"
"EP/G001634/1","[['howard, professor dm', '7702'], ['moir, mr cb', '-196766'], ['chalmers, professor a', '2715']]"
"GR/R36794/01","[['braunschweig, professor h', '85513']]"
"GR/R36794/02","[['braunschweig, professor h', '85513']]"
"GR/M93178/01","[['ashburn, professor p', '497']]"
"GR/M93741/01","[['hall, professor s', '6605'], ['taylor, professor s', '15555']]"
"GR/R03341/01","[['humphreys, professor sir c', '7875']]"
"EP/C51243X/1","[['lam, professor hw', '118599']]"
"GR/S10445/01","[['craig, professor d', '3488']]"
"GR/S59994/01","[['calvez, dr s', '109313']]"
"GR/S25975/01","[['török, professor p', '61610']]"
"EP/G005613/1","[['ryan, professor m', '54555']]"
"EP/E025129/1","[['howard, professor jak', '7713'], ['goeta, dr ae', '58252']]"
"EP/E025226/1","[['wilson, dr c', '-15152']]"
"EP/G022607/1","[['goeta, dr ae', '58252'], ['howard, professor jak', '7713']]"
"GR/S24312/01","[['herzberg, professor rkm', '61357'], ['cullen, dr dm', '53153']]"
"EP/D060354/1","[['gasieniec, professor la', '57224']]"
"EP/C005260/1","[['stevenson, dr pd', '106601'], ['jenkins, dr dg', '94841']]"
"GR/S00873/01","[['kuljis, professor j', '55311'], ['chen, dr s', '91639'], ['baldwin, dr l', '81429']]"
"EP/D037506/1","[['bell, professor m', '1177'], ['heydecker, professor b', '7234']]"
"GR/N66087/01","[['brna, professor p', '45575']]"
"GR/S82145/01","[['shankland, professor ce', '54748'], ['reiff-marganiec, dr s', '110077']]"
"GR/R23312/01","[['wilkinson, professor js', '30005'], ['hewak, professor d', '40395'], ['taylor, dr e', '34895'], ['shepherd, professor dp', '59852'], ['evans, professor a', '4941'], ['sheperd, dr d', '51307']]"
"EP/C52389X/1","[['shaw, professor am', '91615'], ["o'shea, professor p", '72084'], ['somekh, professor m', '14808'], ['barnes, professor wl', '29233'], ['sambles, professor jr', '13851']]"
"GR/N21932/01","[['doikou, dr a', '76769']]"
"GR/R05369/01","[['borthwick, professor agl', '27091']]"
"GR/S21113/01","[['williams, dr p', '55294'], ['nightingale, dr cj', '11612']]"
"EP/D037883/1","[['mcdonald, professor p', '10491'], ['mulheron, dr m', '60191']]"
"EP/F04027X/1","[['thompson, professor sm', '34552'], ['lee, professor af', '56833']]"
"EP/D077680/1","[['angelov, professor pp', '71494'], ['xydeas, professor c', '17634']]"
"GR/S02709/01","[['brna, professor p', '45575']]"
"GR/S73860/01","[['james, professor s', '71357']]"
"GR/N07288/01","[['chen, professor g', '74687'], ['davies, professor d', '3850']]"
"GR/S61720/02","[['towers, professor dp', '87721'], ['desmulliez, professor m', '44531'], ['dhariwal, dr r', '4170'], ['greenaway, professor ah', '18869'], ['towers, dr ce', '105169']]"
"GR/S61720/01","[['towers, professor dp', '87721'], ['desmulliez, professor m', '44531'], ['dhariwal, dr r', '4170'], ['greenaway, professor ah', '18869']]"
"EP/H008160/1","[['sandler, professor m', '22235'], ['kudumakis, dr p', '-181217']]"
"GR/N18413/01","[['clarke, dr a', '34616']]"
"EP/D064155/1","[['hall, professor pm', '51118']]"
"EP/D014573/1","[['parkes, professor cj', '-3391'], ['wright, dr va', '-37778']]"
"EP/C004140/2","[['ou, dr h', '82611'], ['armstrong, professor cg', '445']]"
"EP/C004140/1","[['ou, dr h', '82611'], ['armstrong, professor cg', '445']]"
"EP/E020976/1","[['guz, professor i', '73601'], ['kashtalyan, professor m', '82828']]"
"GR/N31337/01","[['xu, dr w', '77540'], ['hughes, mr s', '7831'], ['crocombe, professor ad', '21323']]"
"GR/N38503/01","[['davies, professor p', '3896'], ['stansby, professor pk', '14993'], ['hewitt, dr re', '59607'], ['duck, professor p', '4477']]"
"EP/E034802/1","[['kazansky, professor p', '50506']]"
"GR/S86938/01","[['byrne, professor bw', '94170']]"
"GR/N18673/01","[['yang, professor g', '68959'], ['pennell, professor dj', '76291'], ['firmin, professor d', '-415492']]"
"GR/S67050/01","[['zhou, professor w', '34721']]"
"GR/M91525/01","[['wallace, professor a', '16440'], ['corney, professor j', '3366'], ['ritchie, professor jm', '13368']]"
"EP/F02861X/1","[['huntley, professor jm', '7918'], ['ashcroft, professor ia', '80335'], ['zhou, dr g', '101021'], ['coupland, professor jm', '3414'], ['ruiz, dr pd', '126212']]"
"EP/C533305/1","[['mitchell, professor c', '77266'], ['evans, dr an', '56688']]"
"TS/G002916/1","[['gillespie, professor wa', '5922']]"
"GR/S08329/01","[['purvis, professor a', '12861'], ['johnson, dr s', '-26311']]"
"GR/S08336/01","[['seed, dr nl', '14113']]"
"GR/R30457/01","[['midgley, professor pa', '57250'], ['thomas, professor sir jm', '15715'], ['johnson, professor b', '21306'], ['johnson, professor b', '70017']]"
"GR/T05875/01","[['soar, dr r', '83912'], ['loveday, professor d', '9723'], ['versteeg, mr h', '16282'], ['malalasekera, professor w', '10032']]"
"EP/C534212/1","[['desmulliez, professor m', '44531'], ['ratchev, professor sm', '76625'], ['conway, professor p', '3262'], ['gindy, professor n', '5948'], ['bailey, professor c', '30486'], ['allen, professor d', '225'], ["o'neill, professor w", '11780']]"
"EP/F033125/1","[['el haj, professor a', '4770'], ['rogerson, professor g', '51630'], ['dobson, professor j', '83265'], ['styles, professor p', '83179']]"
"EP/D038847/1","[['bradley, professor jw', '45429'], ['short, professor r', '14366'], ['bryant, dr pm', '-81214']]"
"EP/F020295/1","[['kenny, professor sd', '85891']]"
