Source	Target	Type	Weight
2984	43548	Undirected	1.0
2984	7332	Undirected	1.0
2984	213	Undirected	2.0
2984	21422	Undirected	1.0
2984	33127	Undirected	1.0
2984	29332	Undirected	1.0
2984	36599	Undirected	1.0
2984	36618	Undirected	1.0
43548	44257	Undirected	2.0
43548	93270	Undirected	2.0
43548	12751	Undirected	2.0
43548	-460313	Undirected	2.0
43548	35916	Undirected	2.0
43548	36598	Undirected	2.0
43548	36617	Undirected	2.0
43548	36619	Undirected	2.0
44257	93270	Undirected	2.0
44257	12751	Undirected	2.0
44257	-460313	Undirected	2.0
44257	35916	Undirected	2.0
44257	36598	Undirected	2.0
44257	36617	Undirected	2.0
44257	36619	Undirected	2.0
7332	213	Undirected	2.0
7332	21422	Undirected	2.0
7332	33127	Undirected	1.0
7332	29332	Undirected	1.0
7332	36599	Undirected	1.0
7332	36618	Undirected	1.0
93270	213	Undirected	2.0
93270	21422	Undirected	2.0
93270	33127	Undirected	1.0
93270	29332	Undirected	1.0
93270	36599	Undirected	2.0
93270	36618	Undirected	2.0
213	12751	Undirected	2.0
213	-460313	Undirected	1.0
213	35916	Undirected	1.0
213	36598	Undirected	1.0
213	36617	Undirected	1.0
213	36619	Undirected	1.0
12751	-460313	Undirected	1.0
12751	35916	Undirected	1.0
12751	36598	Undirected	1.0
12751	36617	Undirected	1.0
12751	36619	Undirected	1.0
21422	33127	Undirected	1.0
21422	29332	Undirected	1.0
21422	36599	Undirected	1.0
21422	36618	Undirected	1.0
-460313	33127	Undirected	2.0
-460313	29332	Undirected	2.0
-460313	36599	Undirected	2.0
-460313	36618	Undirected	2.0
33127	35916	Undirected	2.0
33127	36598	Undirected	2.0
33127	36617	Undirected	2.0
33127	36619	Undirected	2.0
35916	36598	Undirected	2.0
35916	36617	Undirected	2.0
35916	36619	Undirected	2.0
29332	36599	Undirected	2.0
29332	36618	Undirected	2.0
36598	36599	Undirected	2.0
36598	36618	Undirected	2.0
36599	36617	Undirected	2.0
36599	36619	Undirected	2.0
36617	36619	Undirected	2.0
2663	43548	Undirected	2.0
2663	33127	Undirected	2.0
2663	36600	Undirected	1.0
2663	25224	Undirected	3.0
2663	21422	Undirected	2.0
43548	73544	Undirected	1.0
43548	33127	Undirected	2.0
43548	36600	Undirected	1.0
43548	34911	Undirected	1.0
43548	7332	Undirected	2.0
43548	6831	Undirected	1.0
43548	34418	Undirected	1.0
43548	213	Undirected	2.0
73544	-460313	Undirected	1.0
73544	93270	Undirected	1.0
73544	5916	Undirected	1.0
73544	36599	Undirected	1.0
73544	36617	Undirected	1.0
73544	36619	Undirected	1.0
73544	25224	Undirected	1.0
73544	8088	Undirected	1.0
73544	6831	Undirected	1.0
73544	34418	Undirected	1.0
73544	213	Undirected	1.0
44257	29332	Undirected	2.0
44257	36599	Undirected	2.0
44257	34911	Undirected	1.0
44257	7332	Undirected	2.0
44257	6831	Undirected	1.0
44257	34418	Undirected	1.0
44257	213	Undirected	2.0
29332	93270	Undirected	1.0
29332	5916	Undirected	1.0
29332	36600	Undirected	1.0
29332	36619	Undirected	2.0
29332	7332	Undirected	1.0
29332	13526	Undirected	1.0
29332	21422	Undirected	1.0
29332	2984	Undirected	1.0
29332	12751	Undirected	1.0
-460313	35916	Undirected	2.0
-460313	36600	Undirected	1.0
-460313	36619	Undirected	2.0
-460313	7332	Undirected	1.0
-460313	13526	Undirected	1.0
-460313	21422	Undirected	1.0
-460313	2984	Undirected	1.0
-460313	12751	Undirected	1.0
33127	5916	Undirected	1.0
33127	36600	Undirected	1.0
33127	34911	Undirected	1.0
33127	7332	Undirected	1.0
33127	13526	Undirected	1.0
33127	21422	Undirected	1.0
33127	2984	Undirected	1.0
33127	12751	Undirected	1.0
93270	5916	Undirected	1.0
93270	36600	Undirected	1.0
93270	36619	Undirected	2.0
93270	7332	Undirected	1.0
93270	13526	Undirected	1.0
93270	34418	Undirected	1.0
93270	12751	Undirected	2.0
35916	36600	Undirected	1.0
35916	34911	Undirected	1.0
35916	7332	Undirected	1.0
35916	13526	Undirected	1.0
35916	21422	Undirected	1.0
35916	2984	Undirected	1.0
35916	12751	Undirected	1.0
5916	36600	Undirected	1.0
5916	36619	Undirected	2.0
5916	13526	Undirected	2.0
5916	12751	Undirected	2.0
36598	36619	Undirected	2.0
36598	7332	Undirected	1.0
36598	13526	Undirected	1.0
36598	21422	Undirected	1.0
36598	2984	Undirected	1.0
36598	12751	Undirected	1.0
36599	36618	Undirected	2.0
36599	7332	Undirected	1.0
36599	13526	Undirected	1.0
36599	21422	Undirected	1.0
36599	2984	Undirected	1.0
36599	12751	Undirected	1.0
36600	36618	Undirected	1.0
36600	34911	Undirected	1.0
36600	7332	Undirected	1.0
36600	13526	Undirected	1.0
36600	21422	Undirected	1.0
36600	2984	Undirected	1.0
36600	12751	Undirected	1.0
36617	34911	Undirected	1.0
36617	7332	Undirected	1.0
36617	13526	Undirected	1.0
36617	21422	Undirected	1.0
36617	2984	Undirected	1.0
36617	12751	Undirected	1.0
36618	34911	Undirected	1.0
36618	7332	Undirected	1.0
36618	13526	Undirected	1.0
36618	21422	Undirected	1.0
36618	2984	Undirected	1.0
36618	12751	Undirected	1.0
36619	25224	Undirected	1.0
36619	8088	Undirected	1.0
36619	6831	Undirected	1.0
36619	34418	Undirected	1.0
36619	213	Undirected	1.0
34911	25224	Undirected	2.0
34911	21422	Undirected	2.0
25224	7332	Undirected	2.0
25224	21422	Undirected	2.0
7332	8088	Undirected	1.0
7332	6831	Undirected	1.0
7332	2984	Undirected	4.0
8088	13526	Undirected	2.0
8088	12751	Undirected	2.0
13526	34418	Undirected	1.0
6831	34418	Undirected	1.0
6831	12751	Undirected	2.0
21422	213	Undirected	1.0
34418	2984	Undirected	1.0
34418	12751	Undirected	1.0
7332	13192	Undirected	3.0
7332	53214	Undirected	3.0
7332	13385	Undirected	4.0
13192	13233	Undirected	3.0
13192	17139	Undirected	3.0
13192	40202	Undirected	2.0
13233	17139	Undirected	3.0
13233	40202	Undirected	2.0
53214	13385	Undirected	3.0
17139	13385	Undirected	2.0
13385	40202	Undirected	1.0
28648	7698	Undirected	4.0
65698	15576	Undirected	1.0
15576	17634	Undirected	1.0
916	45495	Undirected	1.0
45495	39752	Undirected	1.0
4702	5628	Undirected	2.0
10525	11690	Undirected	1.0
-460313	40177	Undirected	1.0
-460313	11589	Undirected	1.0
40177	11589	Undirected	1.0
12121	11589	Undirected	1.0
11589	29332	Undirected	1.0
13278	27937	Undirected	2.0
27937	4352	Undirected	2.0
14920	14277	Undirected	1.0
28895	14277	Undirected	1.0
14277	45588	Undirected	1.0
12618	2627	Undirected	1.0
41610	21513	Undirected	1.0
21513	5483	Undirected	1.0
652	57135	Undirected	6.0
22834	10140	Undirected	1.0
10140	5310	Undirected	1.0
28055	11943	Undirected	2.0
11943	5010	Undirected	1.0
13627	21678	Undirected	2.0
21678	44825	Undirected	1.0
44825	21678	Undirected	3.0
4320	11746	Undirected	1.0
28648	44891	Undirected	2.0
7698	44891	Undirected	2.0
44891	58217	Undirected	1.0
15930	39564	Undirected	1.0
12486	10774	Undirected	1.0
10774	1941	Undirected	1.0
6722	4603	Undirected	1.0
6722	782	Undirected	1.0
13385	4603	Undirected	1.0
13385	782	Undirected	1.0
4603	213	Undirected	1.0
4603	17139	Undirected	1.0
213	17139	Undirected	1.0
4792	10200	Undirected	1.0
10200	2002	Undirected	1.0
12828	4769	Undirected	4.0
9280	21742	Undirected	1.0
5270	6628	Undirected	1.0
959	54723	Undirected	1.0
5424	36066	Undirected	1.0
36066	5621	Undirected	2.0
9072	7052	Undirected	1.0
39292	11522	Undirected	1.0
39292	46813	Undirected	1.0
39292	3119	Undirected	1.0
39292	44424	Undirected	1.0
38008	9313	Undirected	1.0
38008	17138	Undirected	1.0
38008	46810	Undirected	1.0
11522	9313	Undirected	1.0
11522	17138	Undirected	1.0
11522	46810	Undirected	1.0
9313	46813	Undirected	1.0
9313	3119	Undirected	1.0
9313	44424	Undirected	1.0
46813	3119	Undirected	1.0
46813	44424	Undirected	1.0
17138	46810	Undirected	1.0
3119	46810	Undirected	1.0
46810	44424	Undirected	1.0
5056	7646	Undirected	1.0
7511	2573	Undirected	2.0
29509	8089	Undirected	1.0
8089	9366	Undirected	1.0
1408	36038	Undirected	2.0
4142	3615	Undirected	2.0
4142	3762	Undirected	2.0
3615	3762	Undirected	2.0
29623	75991	Undirected	2.0
75991	7746	Undirected	2.0
50844	-119801	Undirected	1.0
1401	40029	Undirected	1.0
40029	69810	Undirected	2.0
24978	69810	Undirected	1.0
7077	16243	Undirected	1.0
16243	44626	Undirected	3.0
16847	8754	Undirected	1.0
9113	-250362	Undirected	1.0
5300	38341	Undirected	1.0
5300	21378	Undirected	1.0
38341	21378	Undirected	1.0
26125	2615	Undirected	1.0
2615	4332	Undirected	2.0
98427	16377	Undirected	2.0
98427	27951	Undirected	2.0
12490	17240	Undirected	2.0
16377	17240	Undirected	2.0
17240	27951	Undirected	2.0
98427	17240	Undirected	2.0
16377	27951	Undirected	2.0
-122094	629	Undirected	1.0
21299	25230	Undirected	1.0
14993	9409	Undirected	1.0
9409	38272	Undirected	4.0
3565	15579	Undirected	1.0
6958	12350	Undirected	1.0
12350	12210	Undirected	2.0
7052	2779	Undirected	3.0
44789	8511	Undirected	2.0
7946	12367	Undirected	1.0
6323	4136	Undirected	1.0
6323	4267	Undirected	1.0
4136	4267	Undirected	1.0
44687	11579	Undirected	2.0
35479	65834	Undirected	1.0
1216	14941	Undirected	1.0
14941	34855	Undirected	1.0
5025	1509	Undirected	6.0
5025	25929	Undirected	3.0
1352	6357	Undirected	1.0
1509	6357	Undirected	1.0
6357	25929	Undirected	1.0
3036	2663	Undirected	1.0
48640	49255	Undirected	1.0
48640	49257	Undirected	1.0
48640	13052	Undirected	2.0
48640	15715	Undirected	2.0
48640	41001	Undirected	2.0
49254	49255	Undirected	2.0
49254	49257	Undirected	2.0
49254	13052	Undirected	6.0
49254	15715	Undirected	2.0
49254	41001	Undirected	2.0
49255	49256	Undirected	2.0
49255	2663	Undirected	2.0
49255	23065	Undirected	2.0
49255	9542	Undirected	1.0
49255	775	Undirected	2.0
49256	2663	Undirected	2.0
49256	23065	Undirected	2.0
49256	9542	Undirected	1.0
49256	775	Undirected	2.0
49257	13052	Undirected	2.0
49257	15715	Undirected	3.0
49257	41001	Undirected	2.0
2663	13052	Undirected	2.0
2663	15715	Undirected	4.0
2663	41001	Undirected	2.0
13052	23065	Undirected	2.0
13052	9542	Undirected	1.0
13052	775	Undirected	2.0
23065	9542	Undirected	1.0
23065	775	Undirected	2.0
15715	41001	Undirected	2.0
9542	41001	Undirected	2.0
41001	775	Undirected	2.0
9542	49255	Undirected	1.0
9542	49257	Undirected	1.0
9542	2663	Undirected	1.0
9542	23065	Undirected	1.0
9542	775	Undirected	2.0
49254	2663	Undirected	2.0
49255	49257	Undirected	2.0
49255	15715	Undirected	2.0
49256	48640	Undirected	1.0
49256	15715	Undirected	2.0
49257	2663	Undirected	2.0
48640	2663	Undirected	2.0
2663	23065	Undirected	2.0
13052	41001	Undirected	2.0
15715	775	Undirected	2.0
16157	2994	Undirected	2.0
15901	5724	Undirected	1.0
69155	5724	Undirected	1.0
5724	595	Undirected	1.0
2981	37426	Undirected	2.0
10810	2194	Undirected	1.0
15576	6197	Undirected	4.0
11080	1408	Undirected	1.0
2464	21959	Undirected	4.0
39534	10686	Undirected	3.0
39534	55315	Undirected	1.0
10686	55315	Undirected	1.0
37352	38844	Undirected	4.0
37352	13313	Undirected	4.0
38844	13313	Undirected	4.0
37352	4747	Undirected	2.0
1446	12093	Undirected	1.0
12130	5874	Undirected	1.0
8616	38537	Undirected	1.0
38537	4399	Undirected	1.0
40244	32336	Undirected	1.0
10318	48778	Undirected	4.0
10318	54195	Undirected	2.0
-20254	48778	Undirected	2.0
-20254	54195	Undirected	2.0
48778	61472	Undirected	2.0
48778	29368	Undirected	2.0
61472	29368	Undirected	4.0
10318	-20254	Undirected	2.0
-20254	61472	Undirected	2.0
61472	54195	Undirected	2.0
12949	42915	Undirected	1.0
12949	1346	Undirected	1.0
42915	1346	Undirected	1.0
9707	36034	Undirected	3.0
36034	8462	Undirected	1.0
9773	14649	Undirected	8.0
7332	10276	Undirected	5.0
7332	5735	Undirected	1.0
3249	41174	Undirected	1.0
10276	41174	Undirected	1.0
41174	5735	Undirected	1.0
4291	10005	Undirected	1.0
10005	7774	Undirected	1.0
21686	15041	Undirected	1.0
14612	23688	Undirected	1.0
36933	34300	Undirected	1.0
41001	17079	Undirected	1.0
41001	50615	Undirected	1.0
17079	50614	Undirected	1.0
17079	46155	Undirected	1.0
50614	46155	Undirected	1.0
13061	15957	Undirected	1.0
13061	67383	Undirected	1.0
15957	67383	Undirected	1.0
5300	31842	Undirected	1.0
48972	48299	Undirected	2.0
48972	13863	Undirected	1.0
48972	56618	Undirected	1.0
48972	56622	Undirected	1.0
48972	34831	Undirected	2.0
48299	13863	Undirected	1.0
48299	56618	Undirected	1.0
48299	56622	Undirected	1.0
48299	34831	Undirected	1.0
27401	38195	Undirected	1.0
27401	56620	Undirected	1.0
27401	56623	Undirected	1.0
13863	38195	Undirected	1.0
13863	56620	Undirected	1.0
13863	56623	Undirected	1.0
38195	56618	Undirected	1.0
38195	56622	Undirected	1.0
38195	34831	Undirected	1.0
56618	56622	Undirected	1.0
56618	34831	Undirected	1.0
56620	56623	Undirected	1.0
56622	56623	Undirected	1.0
56623	34831	Undirected	1.0
2388	44159	Undirected	1.0
