Id	Label	Num	Val
34501	anderson, dr r	1	42859
341	anderson, dr t	2	319924
31337	anderson, mr d	1	189845
40230	anderson, mr m	1	67065
1302	anderson, mrs ta	2	45569
347	anderson, professor a	1	84801
52433	anderson, professor ah	2	243653
323	anderson, professor cw	5	386663
56645	anderson, professor d	1	92818
327	anderson, professor gk	4	756254
37119	anderson, professor hl	4	470098
350	anderson, professor j	1	38865
31879	anderson, professor jc	7	323639
-11490	anderson, professor je	3	208334
333	anderson, professor m	1	1756
49426	anderson, professor mg	1	164982
27512	anderson, professor mw	8	1342364
53225	anderson, professor r	1	51070
26866	anderson, professor s	5	1293597
340	anderson, professor sj	1	110957
352	anderson, professor t	5	803396
342	anderson, professor w	3	270678
355	andonovic, professor i	7	811347
358	andres, professor u	1	37256
361	andrew, professor c	1	94249
377	andrews, dr k	1	4827
375	andrews, dr p	1	6632669
29070	andrews, dr s	1	137799
34855	andrews, dr sr	5	1257396
368	andrews, professor bj	1	64934
369	andrews, professor d	3	530924
36586	andrews, professor dg	1	76634
43587	andrews, professor dj	4	369876
372	andrews, professor ge	10	1554541
70804	andrews, professor sc	1	87244
48909	angeli, professor p	1	235021
381	angell, professor io	2	163679
71494	angelov, professor pp	1	49880
382	angus, professor jas	3	469135
36327	annable, dr r	1	109406
43024	annett, professor jf	1	107964
59912	ansarifar, dr a	1	49748
386	ansell, dr mp	4	425703
61177	ansorge, dr re	2	798507
48315	anstice, dr h	2	312872
392	anthony, professor c	1	150221
391	anthony, professor mhg	1	39679
34219	anumba, professor cj	4	510729
67281	anwar, dr a	1	53467
32569	aouad, professor g	4	813121
396	aplin, dr p	1	142687
398	appa, dr gm	1	33301
400	applebaum, professor d	2	18011
405	appleton, professor e	2	226582
413	apsimon, professor h	3	131614
416	archbold, professor rj	1	5469
417	archer, professor c	1	425978
424	archer, professor j	2	314328
426	arcoumanis, professor c	15	1645637
82902	ardavan, professor a	1	329911
56730	ariyaeeinia, professor am	1	160470
434	armes, professor sp	17	1632967
32398	armitage, dr a	1	136254
43379	armitage, dr d	2	105243
