Source	Target	Type	Weight
67244	17143	Undirected	4.0
67244	-393156	Undirected	5.0
67244	55710	Undirected	4.0
67244	58157	Undirected	4.0
67244	89185	Undirected	4.0
67244	70395	Undirected	4.0
67244	-251824	Undirected	4.0
67244	117837	Undirected	4.0
67244	81895	Undirected	4.0
67244	104071	Undirected	4.0
67244	-236908	Undirected	4.0
67244	41970	Undirected	4.0
67244	-171947	Undirected	4.0
67244	-114483	Undirected	4.0
67244	-79678	Undirected	4.0
67244	-164791	Undirected	4.0
67244	12426	Undirected	4.0
67244	35009	Undirected	4.0
67244	126084	Undirected	4.0
-191201	43529	Undirected	5.0
-191201	-120212	Undirected	4.0
-191201	-23873	Undirected	4.0
-191201	41846	Undirected	4.0
-191201	78875	Undirected	4.0
-191201	42780	Undirected	5.0
-191201	-161344	Undirected	4.0
-191201	41915	Undirected	5.0
-191201	42031	Undirected	4.0
-191201	9409	Undirected	6.0
-191201	13957	Undirected	4.0
-191201	55914	Undirected	6.0
-191201	101564	Undirected	4.0
-191201	24189	Undirected	5.0
-191201	56727	Undirected	4.0
-191201	113809	Undirected	4.0
-191201	17143	Undirected	4.0
-191201	-393156	Undirected	5.0
-191201	55710	Undirected	4.0
-191201	58157	Undirected	4.0
-191201	89185	Undirected	4.0
-191201	70395	Undirected	4.0
-191201	-251824	Undirected	4.0
-191201	117837	Undirected	4.0
-191201	81895	Undirected	4.0
-191201	104071	Undirected	5.0
-191201	-236908	Undirected	4.0
-191201	-79678	Undirected	4.0
-191201	126084	Undirected	4.0
43529	-120212	Undirected	4.0
43529	-23873	Undirected	4.0
43529	41846	Undirected	4.0
43529	78875	Undirected	4.0
43529	42780	Undirected	6.0
43529	-161344	Undirected	4.0
43529	41915	Undirected	6.0
43529	42031	Undirected	4.0
43529	9409	Undirected	5.0
43529	13957	Undirected	5.0
43529	55914	Undirected	5.0
43529	101564	Undirected	4.0
43529	24189	Undirected	5.0
43529	56727	Undirected	4.0
43529	113809	Undirected	4.0
43529	17143	Undirected	4.0
43529	-393156	Undirected	6.0
43529	55710	Undirected	4.0
43529	58157	Undirected	4.0
43529	89185	Undirected	4.0
43529	70395	Undirected	4.0
43529	-251824	Undirected	4.0
43529	117837	Undirected	4.0
43529	81895	Undirected	4.0
43529	104071	Undirected	5.0
43529	-236908	Undirected	4.0
43529	41970	Undirected	4.0
43529	-171947	Undirected	4.0
43529	-114483	Undirected	4.0
43529	-79678	Undirected	6.0
43529	-164791	Undirected	4.0
43529	12426	Undirected	4.0
43529	35009	Undirected	4.0
43529	126084	Undirected	5.0
-120212	-23873	Undirected	4.0
-120212	41846	Undirected	4.0
