Id	Label	Num
-211622	dr a haynes	2	
68951	professor a corti	1	
13152	professor m reid	1	
132325	professor m gross	1	
-367512	dr t coates	1	
-509543	dr n petrosyan	1	
103618	professor a hone	2	
-520216	dr a felikson	1	
33069	professor s linton	2	
-438398	dr a konovalov	2	
-493886	dr a bartel	1	
-495950	dr j gramain	1	
-304467	dr c heunen	5	
-100419	dr dj barnes	1	
-468182	dr a prendergast	1	
-192571	dr d schuetz	9	
-26391	dr d wirosoetisno	9	
-26383	professor n peyerimhoff	9	
81425	professor j parker	9	
93609	professor j chuang	1	
96056	professor a lazarev	1	
-118821	dr o maleva	2	
-503502	dr e zorin	1	
-519610	professor d ciubotaru	1	
-534978	dr a rizzardo	1	
42239	professor m singer	2	
91668	professor r thomas	1	
55347	dr k rietsch	1	
68565	professor ae kyprianou	5	
-119079	professor s wood	4	
-221519	professor pa milewski	5	
32020	professor b bowditch	1	
-550122	professor j smillie	1	
-541249	professor k vogtmann	1	
-267186	dr s schleimer	1	
-444844	dr h johnston	1	
-302575	dr l dembele	1	
-519454	dr f k stromberg	1	
-163314	professor re goldstein	5	
53335	dr g parry	2	
-430480	dr k ardakov	1	
-175997	dr c vial	1	
-154669	dr n berestycki	4	
-449520	dr r tange	1	
40327	professor a lukas	2	
20557	professor p candelas	2	
-1955	professor d waldram	2	
-214479	dr a evseev	1	
-373302	dr m schlichting	1	
39235	professor nj hitchin	2	
-459911	dr m kalck	1	
-498469	dr a c treglown	2	
8734	professor w kendall	4	
-181198	professor ma williams	3	
95190	professor t nichols	3	
-426799	dr j a brettschneider	3	
68793	dr gj gibbons	3	
-169057	professor m linckelmann	1	
-396605	dr j karmazyn	1	
-157769	dr s launois	2	
7747	professor j howie	10	
79744	professor b leimkuhler	9	
100918	professor i gordon	10	
103689	dr a wiese	9	
34742	professor j sherratt	10	
-182372	dr jr maddison	9	
53130	professor b schroers	9	
-188643	dr n bochkina	10	
38487	professor k ball	10	
2583	professor j carr	10	
21508	professor d duncan	10	
31161	professor h braden	10	
12728	professor m prest	2	
-15736	professor da axinte	5	
50716	professor j billingham	3	
15899	professor jf toland	9	
-421481	dr c marr	9	
-521527	dr d aspero	2	
71579	professor j brodzki	3	
-204760	professor r djukanovic	3	
-405506	professor pjs smith	3	
11618	professor m niranjan	3	
5579	professor jg frey	4	
21687	professor s gilmour	3	
-125821	dr j ross	2	
3544	professor j cremona	1	
