"asymmetric chemistry","co-ordination chemistry","12","£6,205,974.00"
"biological & medicinal chem.","co-ordination chemistry","22","£10,087,264.00"
"chemical synthetic methodology","co-ordination chemistry","58","£22,049,661.00"
"biological & medicinal chem.","chemical biology","83","£39,046,676.00"
"biological & medicinal chem.","chemical structure","36","£14,734,672.00"
"biological & medicinal chem.","materials characterisation","22","£7,838,508.00"
"chemical biology","chemical structure","44","£24,184,224.00"
"chemical biology","chemical synthetic methodology","41","£16,338,742.00"
"chemical biology","materials characterisation","38","£16,530,296.00"
"chemical structure","chemical synthetic methodology","62","£22,910,490.00"
"chemical structure","materials characterisation","75","£38,343,176.00"
"chemical synthetic methodology","materials characterisation","75","£32,324,364.00"
"chemical synthetic methodology","physical organic chemistry","33","£8,746,263.00"
"co-ordination chemistry","materials synthesis & growth","16","£4,046,920.00"
"co-ordination chemistry","physical organic chemistry","2","£516,598.00"
"materials synthesis & growth","physical organic chemistry","6","£1,469,287.00"
"chemical structure","gas & solution phase reactions","34","£16,223,379.00"
"instrumentation eng. & dev.","vlsi design","6","£1,331,681.00"
"electronic devices & subsys.","microsystems","23","£11,178,527.00"
"electronic devices & subsys.","optical devices & subsystems","17","£20,688,364.00"
"microsystems","optical devices & subsystems","5","£5,930,866.00"
"cognitive science appl. in ict","new & emerging comp. paradigms","9","£1,344,749.00"
"cognitive science appl. in ict","system on chip","3","£717,787.00"
"cognitive science appl. in ict","vlsi design","2","£684,328.00"
"new & emerging comp. paradigms","system on chip","16","£9,458,043.00"
"new & emerging comp. paradigms","vlsi design","19","£10,678,710.00"
"med.instrument.device& equip.","robotics & autonomy","2","£412,730.00"
"med.instrument.device& equip.","optical devices & subsystems","4","£1,317,604.00"
"biomaterials","tissue engineering","54","£25,221,544.00"
"eng. dynamics & tribology","instrumentation eng. & dev.","7","£1,691,526.00"
"construction ops & management","manufact. business strategy","10","£33,915,135.00"
"construction ops & management","manufacturing machine & plant","2","£23,298,836.00"
"manufact. business strategy","manufacturing machine & plant","16","£54,941,478.00"
"control engineering","design & testing technology","8","£35,361,594.00"
"control engineering","design processes","8","£40,861,373.00"
"control engineering","manufact. business strategy","5","£25,294,327.00"
"control engineering","manufact. enterprise ops& mgmt","7","£27,092,620.00"
"control engineering","transport ops & management","8","£20,953,864.00"
"design & testing technology","design processes","20","£45,678,779.00"
"design & testing technology","manufact. business strategy","5","£25,294,327.00"
"design & testing technology","manufact. enterprise ops& mgmt","8","£28,792,550.00"
"design & testing technology","transport ops & management","3","£11,648,299.00"
"design processes","manufact. business strategy","8","£25,979,136.00"
"design processes","manufact. enterprise ops& mgmt","13","£29,795,182.00"
"design processes","transport ops & management","6","£12,696,133.00"
"manufact. business strategy","manufact. enterprise ops& mgmt","45","£63,474,070.00"
"manufact. business strategy","transport ops & management","2","£11,637,497.00"
"manufact. enterprise ops& mgmt","transport ops & management","7","£12,263,765.00"
"biomaterials","biomechanics & rehabilitation","3","£4,443,229.00"
"biomaterials","med.instrument.device& equip.","15","£9,783,680.00"
"biomechanics & rehabilitation","tissue engineering","6","£14,793,068.00"
"med.instrument.device& equip.","tissue engineering","22","£16,229,213.00"
"information & knowledge mgmt","networks & distributed systems","57","£60,014,213.00"
"chemical biology","condensed matter physics","10","£10,346,674.00"
"chemical biology","physical organic chemistry","12","£4,816,356.00"
