"combustion","control engineering","7"
"control engineering","electric motor & drive systems","8"
"complex fluids & soft solids","physical organic chemistry","6"
"evolution & populations","materials characterisation","1"
"evolution & populations","plant responses to environment","1"
"materials characterisation","plant physiology","1"
"materials characterisation","surfaces & interfaces","32"
"plant physiology","surfaces & interfaces","1"
"design of process systems","multiphase flow","14"
"design of process systems","reactor engineering","26"
"multiphase flow","reactor engineering","11"
"building ops & management","construction ops & management","16"
"building ops & management","ground engineering","18"
"building ops & management","urban & land management","39"
"construction ops & management","ground engineering","10"
"construction ops & management","urban & land management","16"
"energy efficiency","structural engineering","15"
"ground engineering","structural engineering","24"
"structural engineering","urban & land management","20"
"analytical science","construction ops & management","1"
"analytical science","ground engineering","2"
"analytical science","structural engineering","1"
"building ops & management","instrumentation eng. & dev.","6"
"construction ops & management","energy efficiency","13"
"energy efficiency","ground engineering","11"
"instrumentation eng. & dev.","structural engineering","1"
"civil engineering materials","ground engineering","13"
"civil engineering materials","urban & land management","8"
"ground engineering","urban & land management","27"
"biochemical engineering","design of process systems","11"
"biochemical engineering","macro-molecular delivery","2"
"biochemical engineering","manufacturing machine & plant","6"
"bioprocess engineering","building ops & management","3"
"bioprocess engineering","fuel cell technologies","4"
"bioprocess engineering","manufact. enterprise ops& mgmt","11"
"bioprocess engineering","water engineering","2"
"building ops & management","fuel cell technologies","17"
"building ops & management","manufact. enterprise ops& mgmt","4"
"building ops & management","water engineering","24"
"design of process systems","macro-molecular delivery","3"
"design of process systems","manufacturing machine & plant","51"
"fuel cell technologies","macro-molecular delivery","1"
"fuel cell technologies","manufacturing machine & plant","9"
"macro-molecular delivery","manufact. enterprise ops& mgmt","4"
"macro-molecular delivery","water engineering","1"
"manufact. enterprise ops& mgmt","water engineering","7"
"analytical science","biochemical engineering","1"
"analytical science","catalysis & applied catalysis","15"
"analytical science","chemical synthetic methodology","25"
"analytical science","fuel cell technologies","6"
"analytical science","synthetic biology","3"
"biochemical engineering","building ops & management","15"
"biochemical engineering","chemical synthetic methodology","1"
"biochemical engineering","fuel cell technologies","15"
"biochemical engineering","water engineering","15"
"building ops & management","chemical synthetic methodology","1"
"building ops & management","synthetic biology","2"
"catalysis & applied catalysis","chemical synthetic methodology","20"
"catalysis & applied catalysis","fuel cell technologies","22"
"catalysis & applied catalysis","synthetic biology","11"
"chemical biology","chemical synthetic methodology","8"
"chemical biology","fuel cell technologies","2"
"chemical biology","synthetic biology","6"
"chemical synthetic methodology","design processes","2"
"chemical synthetic methodology","instrumentation eng. & dev.","10"
"chemical synthetic methodology","water engineering","2"
"design processes","instrumentation eng. & dev.","4"
"design processes","water engineering","3"
"fuel cell technologies","synthetic biology","14"
"instrumentation eng. & dev.","synthetic biology","3"
"synthetic biology","water engineering","16"
"biochemical engineering","bioprocess engineering","7"
"biochemical engineering","design processes","4"
"biomaterials","catalysis & applied catalysis","14"
"biomaterials","design of process systems","11"
"biomaterials","manufact. enterprise ops& mgmt","17"
"bioprocess engineering","catalysis & applied catalysis","6"
"bioprocess engineering","design of process systems","23"
"catalysis & applied catalysis","chemical biology","11"
"catalysis & applied catalysis","manufact. enterprise ops& mgmt","27"
"chemical biology","design of process systems","3"
"chemical biology","manufact. enterprise ops& mgmt","3"
"design of process systems","design processes","7"
"design processes","manufact. enterprise ops& mgmt","14"
"manufact. enterprise ops& mgmt","manufacturing machine & plant","129"
"macro-molecular delivery","sustainable energy networks","1"
"biophysics","condensed matter physics","29"
"biophysics","magnetism/magnetic phenomena","23"
"condensed matter physics","high performance computing","21"
"condensed matter physics","solar technology","21"
"high performance computing","solar technology","21"
"chemical structure","chemical synthetic methodology","25"
"chemical structure","materials characterisation","32"
"chemical synthetic methodology","co-ordination chemistry","20"
"chemical synthetic methodology","materials synthesis & growth","35"
"co-ordination chemistry","materials synthesis & growth","18"
"design of process systems","particle technology","28"
"digital signal processing","vision & senses - ict appl.","21"
"materials characterisation","materials synthesis & growth","242"
"catalysis & applied catalysis","design of process systems","71"
"catalysis & applied catalysis","energy efficiency","7"
"catalysis & applied catalysis","heat & mass transfer","45"
"catalysis & applied catalysis","materials processing","17"
"catalysis & applied catalysis","microsystems","40"
"chemical synthetic methodology","design of process systems","6"
"chemical synthetic methodology","energy efficiency","2"
"chemical synthetic methodology","heat & mass transfer","2"
"chemical synthetic methodology","manufacturing machine & plant","3"
"chemical synthetic methodology","microsystems","5"
"chemical synthetic methodology","synthetic biology","5"
"design of process systems","gas & solution phase reactions","44"
"design of process systems","manufact. enterprise ops& mgmt","34"
"design of process systems","synthetic biology","10"
"electrochemical science & eng.","gas & solution phase reactions","8"
"electrochemical science & eng.","manufact. enterprise ops& mgmt","7"
"electrochemical science & eng.","materials processing","7"
"electrochemical science & eng.","microsystems","8"
"electrochemical science & eng.","synthetic biology","2"
"energy efficiency","heat & mass transfer","25"
"energy efficiency","manufacturing machine & plant","24"
"energy efficiency","materials synthesis & growth","16"
"energy efficiency","optoelect. devices & circuits","4"
"gas & solution phase reactions","heat & mass transfer","43"
"gas & solution phase reactions","manufacturing machine & plant","8"
"gas & solution phase reactions","materials synthesis & growth","20"
"gas & solution phase reactions","optoelect. devices & circuits","3"
"heat & mass transfer","manufact. enterprise ops& mgmt","8"
"heat & mass transfer","materials processing","4"
"heat & mass transfer","microsystems","45"
"heat & mass transfer","synthetic biology","4"
"manufact. enterprise ops& mgmt","materials synthesis & growth","39"
"manufact. enterprise ops& mgmt","optoelect. devices & circuits","14"
"manufacturing machine & plant","materials processing","140"
"manufacturing machine & plant","microsystems","15"
"manufacturing machine & plant","synthetic biology","8"
"materials processing","microsystems","4"
"materials processing","synthetic biology","3"
"materials synthesis & growth","optoelect. devices & circuits","44"
"microsystems","optoelect. devices & circuits","14"
