Id,Label,Num,Val
92622,aaron, dr j,2,1143455
-182151,aarts, professor dga,1,105975
-21055,aarts, professor g,1,12730
86951,abadi, professor r,1,63074
-107277,abbes, dr so,1,201902
29057,abbott, professor a,6,665819
57206,abd-alhameed, professor ra,1,167574
67289,abdalla, professor h,1,163155
-85471,abdallah, dr s,1,1447587
87911,abdallah, professor a,1,315041
48689,abdelmoty, dr a,1,59711
-159800,abdulle, professor a,1,442489
34885,abel, professor e,3,396370
-1359,abel, professor s,1,6927
24,abell, professor c,2,5276112
73176,abell, professor j,4,2451656
54515,abell, professor js,7,8642391
72564,abeysinghe, dr g,1,47530
-26958,aboagye, professor e,1,3981852
29,abraham, dr e,2,165178
106405,abraham, mr d,1,91432
28,abraham, professor d,2,3510831
45099,abraham, professor h,1,112379
32,abrahams, dr i,1,146041
22096,abrahams, professor id,6,767432
-7046,abrahart, dr rj,1,10613
29376,abram, professor ra,13,13590043
35,abramsky, professor s,9,1997198
60140,abrashkin, professor v,1,127101
62698,abu tair, dr a,1,5506589
117711,abuknesha, dr r,1,274825
38,acar, professor b,4,20891401
65727,acar, professor m,5,208173
40,acarnley, mr pp,3,998201
-151250,achim, dr am,1,103458
-89227,ackemann, professor t,2,1795623
51713,ackerman, dr m,2,176696
44,ackermann, professor f,1,372945
45,ackland, professor gj,11,17793507
-38951,acton, mr pe,5,2578227
25972,aczel, professor p,2,294747
82116,adam, professor ae,1,393552
84339,adamatzky, professor a,15,1959570
-14117,adams, dr al,1,185087
126945,adams, dr cj,1,198516
90127,adams, dr gg,1,63405
86501,adams, dr nm,1,233935
-108007,adams, dr r,1,225677
118415,adams, dr rj,1,399492
-64990,adams, dr wj,1,125452
121535,adams, mr h,1,312720
75,adams, professor a,8,1829774
92334,adams, professor aa,4,284578
57503,adams, professor c,2,224717
42882,adams, professor cs,13,4649455
-200617,adams, professor dj,1,356088
42440,adams, professor m,8,2727101
69,adams, professor rg,2,80861
77471,adcock, mr r,1,8397350
113211,addis, dr m,3,643584
85,addis, professor tr,1,73964
86476,addy, dr v,1,219102
108063,adhikari, professor s,6,772491
90947,adjei, dr oa,1,6500
72561,adjiman, professor cs,11,10333413
-531340,adlam, dr t,1,19962
-8404,administrator, the p,8,6804628
37748,adolf, dr d,4,894230
