> Community 1:     599 £623,490,524.00
> Community 2:     290 £330,686,184.00
> Community 3:     790 £880,380,651.00
> Community 4:       0 £0.00
> Community 4:       0 £0.00
> Community 4:       0 £0.00
> Community 4:       0 £0.00
> Community 4:       0 £0.00

> Total:          1679 £1,834,557,359.00
> Total (unique): 1598 £1,710,752,915.00
