"EP/L024780/1","['127919', '1396']"
"EP/M017222/1","['-10157', '40973']"
"EP/K030949/1","['434']"
"EP/K03071X/1","['96463', '-7997', '106292']"
"EP/L020599/1","['34838', '-385120', '-104747', '56409', '35928']"
"EP/L018039/1","['115780']"
"EP/N033337/1","['119913', '-487990']"
"EP/N03340X/1","['95046']"
"EP/N033167/1","['34648']"
"EP/N033310/1","['88190', '-258455']"
"EP/N022807/1","['50320', '-103386']"
"EP/M023877/1","['-493737']"
"EP/N027264/1","['101381', '-210764', '-117115', '-4432', '106929']"
"EP/N033655/1","['-214437']"
"EP/K020234/1","['8323', '-1008', '-108034', '25053', '10566', '92216', '-257082']"
"EP/N51004X/1","['36455']"
"EP/M020460/1","['100731']"
"EP/I02249X/1","['17379', '49267', '-189459', '-177421', '-7738', '73058', '4136', '15755', '40140', '39752', '95046', '58708', '100952', '115867', '108032', '106292', '68130', '32269']"
"EP/N026586/1","['-225572', '-215089']"
"EP/M004201/1","['-108742']"
"EP/M004511/1","['-230755']"
"EP/M004414/1","['115867']"
"EP/M002020/1","['96463']"
"EP/N025504/1","['14082', '37267', '-497749', '-249240']"
"EP/K020013/1","['44954', '14470', '123979', '27579']"
"EP/K020757/1","['118330', '-99150', '56939']"
"EP/K021729/1","['-17244', '-420903', '46081']"
"EP/N02074X/1","['-415437']"
"EP/K020463/1","['93895', '73998', '122537', '-391085', '83982']"
"EP/M025543/1","['100863', '121944', '93563', '55374', '101381', '48693', '-188970']"
"EP/N006267/1","['-383844', '309', '-160927', '-118428']"
"EP/N023129/1","['-503121']"
"EP/M023281/1","['-107082', '78397', '-507527', '-507529', '51118', '17222', '-372746', '-259812', '83269']"
"S/A000026/1","['-186139', '-449108', '-408357', '-195262', '-110248', '-108574', '-108516', '-107976', '11775', '43067', '122942', '125456']"
"EP/N031806/1","['-429129']"
"EP/L02019X/1","['117498', '50526', '-28278', '-175276', '368', '-159395', '92710', '-452720']"
"EP/M015599/1","['-493093']"
"EP/M025977/1","['-214543', '119045', '41348', '-503602', '-215182', '-155320', '-110248']"
"EP/K019759/1","['30942', '-196214', '93563', '-304511', '110491']"
"EP/N027132/1","['68959', '42685']"
"EP/M000257/1","['68959', '42685']"
"EP/M003698/1","['-426068']"
"EP/K009699/1","['51646', '-19966', '119342', '117583']"
"EP/M002632/1","['-454165']"
"EP/F50036X/1","['3247']"
"EP/N018931/1","['69701']"
"EP/K03877X/1","['7684', '-400212', '50184', '75154', '43622', '25230', '-419529', '-409779']"
"EP/M012964/1","['-426401']"
"EP/K028421/1","['-408357', '11775', '125456']"
"EP/N02480X/1","['118330', '-210764', '77926', '-93485', '24520']"
"EP/L020815/1","['132037', '80239', '-301711', '-249440']"
"EP/N026845/1","['-464008', '-465952', '-250949']"
"EP/N022971/1","['-188970', '99170']"
"EP/M025594/1","['-214543']"
"EP/K034847/1","['63519', '50377', '72886', '-428371']"
"EP/M026388/1","['100731', '106090', '93895', '-418628', '-503602', '-307529', '-126869', '-24480']"
"EP/M006298/1","['-10061', '94915', '48048']"
"EP/J004561/1","['72333', '76520', '115485']"
"EP/L023644/1","['-185420']"
"EP/K041207/1","['-308300', '42118']"
"EP/K036564/1","['111092']"
"EP/K036157/1","['-6396', '-425601']"
"EP/N020987/1","['-494588', '-21248']"
"EP/N008499/1","['-186249']"
"EP/F500351/1","['-13260']"
"EP/K020315/1","['94878', '45314', '-172876', '-87695', '-88782', '108148']"
"EP/M005976/1","['41955', '-413570', '-189625', '-120350', '96832', '57710', '66077', '-491206']"
"EP/M005909/1","['101974', '-23699', '-176034', '-8193', '-167458', '-106367', '-322942', '-323885']"
"EP/K020404/1","['-170746', '-190304', '-192935', '-21514', '104033', '-324958']"
"EP/K009842/1","['15956', '2637', '-364755']"
"EP/N014421/1","['-455302', '-333200']"
"EP/J500124/1","['39006']"
"EP/M028739/1","['-459649']"
"EP/I032517/1","['10115', '20508', '53039', '8964', '13385', '94512', '-218517', '-214628', '5533']"
"EP/M022609/1","['52957']"
"EP/L027631/1","['38146', '-407816']"
"EP/K018876/1","['119793', '-119496', '-23399']"
"EP/L015110/1","['66895', '-114995', '37521', '22036']"
"EP/L015854/1","['75200', '-9233', '-1330', '-110554', '-224809']"
"EP/L015536/1","['10622', '12600', '40832', '97763']"
"EP/M004228/1","['-445358']"
"EP/N025725/1","['-426035']"
"EP/N014731/1","['-491056']"
"EP/M016889/1","['80726', '93270']"
"EP/M015831/1","['48048', '52977', '-10061', '-903']"
"EP/N028694/1","['50750', '112206', '-199356', '43504', '2451', '16056', '-159364', '115183', '-464583', '-480284', '96777', '-218454']"
"EP/K00512X/1","['-265313']"
"EP/M023915/1","['-493904']"
"EP/N027639/1","['-513577', '-63724']"
"EP/K04057X/2","['-390663']"
"EP/N021096/1","['-105162', '-73411']"
"EP/N007700/1","['109547', '17345']"
"EP/N007719/1","['-198386']"
"EP/N007980/1","['-224809']"
"EP/J017566/1","['14107', '50639', '51996', '-29254', '-10129', '15617', '72084', '705', '127275', '81707']"
"EP/K013610/1","['120015', '-188134']"
"EP/K013564/1","['61373', '9965']"
"EP/K013831/1","['52930']"
"EP/K013750/2","['13140']"
"EP/K01529X/1","['42450', '43972']"
"EP/K013556/1","['-115235']"
"EP/K013688/1","['61323', '105888']"
"EP/K013459/1","['77725', '45310']"
"EP/K013718/1","['46040']"
"EP/K01465X/1","['45', '89660']"
"EP/K014560/1","['34540', '52344', '12204', '125120']"
"EP/N018591/1","['-75760']"
"EP/K00641X/1","['-380318']"
"EP/J017639/1","['12204', '41112', '40210', '11473', '96613', '16565']"
"EP/N023633/1","['48095', '-514349']"
"EP/M028208/1","['835', '12657', '85957', '-438678', '-436272', '61112', '94248']"
"EP/I024905/1","['-21383']"
"EP/N013395/1","['-10157', '-162443']"
"EP/N025105/1","['94941', '-398845']"
"EP/N024796/1","['-2856', '111413']"
"EP/N011511/1","['-11045', '56703', '117269', '43771', '32459']"
"EP/I033270/1","['15868', '-23812', '38108', '-11293', '94941', '-149115', '71064']"
"EP/L017121/1","['54110']"
"EP/K038648/1","['1799', '-189227', '-183408', '-27428', '8935', '102972', '-305209', '-295727', '34731', '127275']"
"EP/N015916/1","['-161777']"
"EP/N013468/1","['-529725']"
"EP/N007557/1","['-422712']"
"EP/N010523/1","['80634', '13540', '28545', '116917', '108938', '-244873', '94574', '122537', '-180790', '108534', '42474', '-116488', '3138', '-80837', '-51573', '130377', '28462', '-439712', '-464153', '93895']"
"EP/L005700/1","['-125362']"
"EP/I02929X/1","['39147', '72748', '11861', '44971', '92028', '101427', '106233', '50835', '57443', '-193742', '-241069', '-169900', '80576']"
"EP/M001067/1","['-356459', '-30080']"
"EP/N021614/1","['51807', '-211411', '37692', '40357', '44695', '116932', '-425848', '-304420', '109724', '-241558', '-244585', '-242884', '-492027', '-507200', '31886']"
"EP/N509012/1","['-105021', '-476012', '-476308', '-531659', '-490009']"
"EP/N509036/1","['-484744']"
"EP/I038837/1","['30550', '102972', '-361751', '-289013', '-229913', '6728', '-161562', '40612', '17665', '-153810', '37719', '128335', '55263']"
"EP/I01778X/1","['76480', '-417403', '-187474', '-30080', '-356459', '121224', '-445349']"
"EP/N010019/1","['-472552', '-197091', '-123382', '12861']"
"EP/L01582X/1","['12687', '37401', '-79145']"
"EP/L016400/1","['78580', '-104233', '6532', '12808', '-456155']"
"EP/K009915/1","['-129394']"
"EP/N004671/1","['50835', '-286344']"
"EP/G037272/1","['70341', '-236820', '-174574']"
"EP/G037787/1","['34596']"
"EP/G037698/1","['-79345']"
"EP/I019308/1","['51807', '35937', '37692', '40357', '3618', '93129', '89280', '44695', '55324', '-304420', '109724', '-297874', '31886']"
"EP/M017621/1","['-422444']"
"EP/K021907/1","['109944']"
"EP/K021893/1","['110478']"
"EP/K021834/1","['-29747']"
"EP/G037477/1","['16823']"
"EP/J002380/1","['-100165']"
"EP/H009612/1","['72748', '9671']"
"EP/N022637/1","['-410176']"
"EP/N022351/1","['13517', '-252769']"
"EP/N509000/1","['-79509']"
"EP/J02077X/1","['71506', '38027', '-154172', '-187814', '-248909', '-372955']"
"EP/K035355/2","['74086', '99170', '2663', '82953', '-409272']"
"EP/N024567/1","['-532204', '-23312', '13614', '102972', '-241673']"
"EP/K035967/1","['4579', '-435934', '-117637', '79462', '-44025', '61230', '-253642', '85403']"
"EP/L020777/1","['14765', '-15114', '-76055']"
"EP/N029429/1","['-192616']"
"EP/N508615/1","['-482196']"
"EP/J020184/2","['103908', '42780']"
"EP/L012227/1","['108020', '73058']"
"EP/L012251/1","['112314', '5961', '94414']"
"EP/N509966/1","['9071']"
"EP/K035878/1","['111039', '-434125', '-187142', '-182249', '-183595', '-80247', '70889', '-246185']"
"EP/J020745/1","['-76055', '123842', '-15103', '-15114', '14765', '44948']"
"EP/G037345/1","['14765', '-109834']"
"EP/L016362/1","['14765', '-15114', '-15103', '-7039', '-76055', '38142', '12657', '98279', '54467', '111039']"
"EP/K036033/1","['-48182', '-6822', '117846']"
"EP/M001369/1","['-241673', '-409484', '-303375', '-181239', '-113845']"
"EP/N007859/1","['-81165', '71506', '-117330', '-372955']"
"EP/K035274/1","['87797', '8719', '44380', '102972', '93226']"
"EP/N024540/1","['-117637', '-200928', '50614', '37273', '-502818', '-506996']"
"EP/L022958/1","['-86877', '-188940', '-51056']"
"EP/M001342/1","['72078', '-200617', '-23413']"
"EP/N013883/1","['73952', '-398965', '-187211', '110324']"
"EP/N009525/1","['-506816']"
"EP/M001458/1","['-200928', '72561', '79462', '102972', '12657', '22112', '-63445', '70712']"
"EP/K021869/1","['-183595', '-399201', '-269821', '85403']"
"EP/M001482/1","['-186246', '40837', '-435728', '-481984', '12657', '5834', '46911', '-249677', '-181660', '-111569', '-63445']"
"EP/K034952/1","['10088', '-263753']"
"EP/K036025/1","['-364647', '-186097', '-435093', '-419390', '66415']"
"EP/K000446/2","['5834', '105211', '117846', '125790', '85957', '73058', '56801', '-6708', '102972', '16033', '12657', '111039', '-262944', '-249677', '-248790', '-181239', '-184599', '-118097', '-15103', '-23312', '71506', '14765']"
"EP/N00938X/1","['-522166']"
"EP/N009533/1","['2663', '-213257', '86007', '-431372', '-398170', '45812', '74086']"
"EP/N024613/1","['71506', '38027', '-187814', '-117330', '-545045']"
"EP/K001329/1","['41423', '-98093', '14479', '74086', '41623', '37889', '15285', '2663', '45812', '32459']"
"EP/M019195/1","['-109169']"
"EP/N020669/1","['-450617']"
"EP/M010554/1","['71054', '95775']"
"EP/M023885/1","['3065']"
"EP/P001475/1","['42725', '45280', '-480516', '-192919', '-110716']"
"EP/N014456/1","['106967']"
"EP/M013219/1","['16094', '52957', '40973', '14082', '61579', '99299', '88269', '127902']"
"EP/K014897/1","['40973', '39238', '-183408', '9295', '94941', '102972', '16532', '128473']"
"EP/L025000/1","['64967']"
"EP/J020192/1","['14082']"
"EP/N019393/1","['29253']"
"EP/N031792/1","['112058']"
"EP/N007441/1","['-520903']"
"EP/L023121/1","['37308']"
"EP/M026221/1","['-481376']"
"EP/N022793/1","['-479208']"
"EP/K014749/1","['24451', '-180507', '78969', '72078', '7937', '8956', '44380', '102972', '27178', '85552']"
"EP/I019693/1","['2663', '49768', '42725', '7937', '13742', '5961', '38914', '44576', '45812', '61579', '55659']"
"EP/M023346/1","['-187425']"
"EP/J018139/1","['-81264', '-197148', '3156', '114691', '105688', '-233635', '-217591', '127065']"
"EP/J018090/1","['95775', '118599', '71054']"
"EP/L014017/2","['-200984']"
"EP/K007947/1","['15285', '11678']"
"EP/M026159/1","['-162025']"
"EP/L020432/2","['-190439']"
"EP/N031555/1","['16533', '43713']"
"EP/K024205/1","['55264']"
"EP/M025241/1","['-215744', '-215699']"
"EP/G03768X/1","['42725']"
"EP/N510038/1","['-427382']"
"EP/N510026/1","['42684']"
"EP/N032985/1","['92400', '98279', '131956']"
"EP/K023004/1","['73981', '-424369']"
"EP/L016443/1","['7937', '39021', '94047', '57154']"
"EP/L016419/1","['127065', '49617', '-117637', '95775', '105688', '-217591']"
"EP/L016354/1","['42725', '10364', '-258455']"
"EP/L015633/1","['11076', '113728']"
"EP/M010538/1","['2663', '-412242', '-87745']"
"EP/L00352X/1","['-442607']"
"EP/N02320X/1","['-523590']"
"EP/L026317/1","['2663']"
"EP/L02537X/1","['42775']"
"EP/N010531/1","['27178', '-408323', '7937', '61236', '24451', '-353852', '32124', '85552']"
"EP/K00803X/1","['55264']"
"EP/M029077/1","['61248']"
"EP/M029476/1","['-92056']"
"EP/K009567/2","['74086', '2663']"
"EP/M02766X/1","['-447980']"
"EP/K032062/1","['10590', '-99390', '2126', '82896']"
"EP/K030574/2","['-1635']"
"EP/K03037X/1","['-20384']"
"EP/N029992/1","['-520997']"
"EP/N02379X/1","['54286', '-14646']"
"EP/N023587/1","['92683']"
"EP/N015290/1","['-97901']"
"EP/J014958/1","['8108', '40596', '72561', '73824', '-79240', '12025']"
"EP/M02220X/1","['-11491']"
"EP/P001467/1","['7937', '39021', '15681', '-412243', '61236', '-492722']"
"EP/M024210/1","['71061', '49617']"
"EP/J003867/1","['42485']"
"EP/M010481/1","['44789']"
"EP/M009688/1","['49267', '17379', '-493737']"
"EP/M507805/1","['-311107', '-391962', '-286763']"
"EP/K014773/1","['-231959', '72078', '2953', '-94984', '99967']"
"EP/K038419/1","['40202', '52217', '-111351', '-95775', '2663', '21422']"
"EP/K029525/2","['56833']"
"EP/L024829/1","['82101', '53809']"
"EP/N026004/1","['-94335']"
"EP/N010868/1","['82960', '94723', '97323', '8919', '36103', '-254854', '6475', '-122021', '44916', '-108315', '14540', '115831', '-93913', '-90293', '-415585']"
"EP/K014323/1","['2663']"
"EP/K014889/1","['42725', '-190439', '48452', '-189972', '-108164', '74551', '9295', '94047', '89626', '57154', '-406899', '-258455', '6372']"
"EP/K012258/1","['69970', '46124', '-189092', '70695']"
"EP/K013505/1","['48362']"
"EP/K012290/1","['-192919']"
"EP/K014854/1","['7937', '39021', '38914', '94047', '44576', '3156', '54941', '27178', '32124', '127902']"
"EP/K014714/1","['2663', '-187211', '42725', '7937', '12558', '5961', '54941', '45812', '56833', '-420667', '55659', '-120149']"
"EP/K014668/1","['42725', '46124', '98273', '57154', '36732', '61579', '71061', '87797', '82213', '127065']"
"EP/K014706/2","['45812', '78969', '99170', '26776', '10789', '26910', '-2819', '10910', '13742', '86007']"
"EP/L000253/1","['52957']"
"EP/J002208/2","['-154799']"
"EP/J010863/2","['94775']"
"EP/J010804/1","['42555']"
"EP/J011185/1","['103791']"
"EP/J010812/1","['-187038']"
"EP/J010847/1","['16391', '125120']"
"EP/N011384/1","['-192354', '11321']"
"EP/M013839/1","['-401170', '87797']"
"EP/N008995/1","['45812', '-193017', '104770', '45310', '-428160']"
"EP/N009304/1","['94414', '5961', '112314']"
"EP/M027678/1","['-488491']"
"EP/J002402/1","['-188805']"
"EP/L012804/1","['73063']"
"EP/N025652/1","['60142']"
"EP/M015572/1","['42411', '84766', '-2613', '94881']"
"EP/J002577/1","['-148370']"
"EP/L015498/1","['127275', '-3354', '91078']"
"EP/L003376/1","['-426416']"
"EP/M003647/1","['-458918']"
"EP/M001873/2","['-74190']"
"EP/L027003/1","['-109571']"
"EP/L021366/1","['43161', '74007']"
"EP/N013573/1","['-10038', '52060', '-110971', '99135', '60142']"
"EP/N023226/1","['-175449']"
"EP/M015378/1","['52957']"
"EP/M013898/1","['-422146']"
"EP/J002615/1","['-294658']"
"EP/M001997/1","['34571']"
"EP/M029794/1","['-407142']"
"EP/L018470/1","['17349', '79372', '3216']"
"EP/K021435/1","['58309']"
"EP/N035437/1","['29058', '13147', '99939', '70023', '32486', '85445', '82989']"
"EP/N007123/1","['-502274']"
"EP/M029131/1","['-98849']"
"EP/L022532/1","['80263', '10082', '11870', '128171']"
"EP/J001872/1","['-24749']"
"EP/K039229/1","['12751', '15882', '-184722', '-9004', '60514']"
"EP/I011870/2","['14032', '-207840', '46021', '42759', '1313', '15686', '116950']"
"EP/K038400/1","['76723']"
"EP/K038583/1","['-352281']"
"EP/K038222/1","['92683']"
"EP/K038176/1","['94512']"
"EP/K037943/1","['74038']"
"EP/K014382/1","['44789', '-106580']"
"EP/I01974X/1","['44789', '49768', '-111594', '-75908', '39291', '14082', '45006', '5004', '58252', '54176', '-261412', '32486']"
"S/A000019/1","['0']"
"S/A000012/1","['-17657']"
"EP/M005178/1","['113728', '14032', '-37909']"
"EP/K026720/1","['-225572']"
"EP/K038958/1","['107909', '42555', '-215054']"
"EP/M027716/1","['117038', '56694', '37419', '-27231']"
"EP/N007417/1","['85400', '-289281']"
"EP/M001970/1","['21594', '54286']"
"EP/M001962/1","['80064', '16895']"
"EP/M008398/1","['107644']"
"EP/L010615/1","['107644']"
"EP/L012189/1","['128801', '-37659']"
"EP/L01212X/1","['21273']"
"EP/P001548/1","['49768', '39291', '94881', '-521636', '32486', '44789']"
"EP/N015401/1","['-99127', '-70595', '-517712']"
"EP/N01331X/1","['107644', '-395356', '49479', '-176067', '21343', '107959', '68680']"
"EP/L010518/1","['53913', '16391']"
"EP/L012243/1","['61582', '-130798', '7713']"
"EP/K005472/1","['49658']"
"EP/K034995/1","['85400', '78926', '104951']"
"EP/K024000/2","['107838', '85825']"
"EP/P001394/1","['-94516', '94773', '7492', '46217', '39006']"
"EP/N010906/1","['132038', '31891', '25224', '-420667']"
"EP/P00315X/1","['57784', '-426893', '-311299']"
"EP/G036764/1","['21338']"
"EP/I031545/1","['16773']"
"EP/I038071/1","['102']"
"EP/N022815/1","['952']"
"EP/N00969X/1","['-458939']"
"EP/L00125X/1","['55631']"
"EP/L025140/1","['-152139']"
"EP/L025604/1","['69824']"
"EP/G037515/1","['46239', '-145946', '72193']"
"EP/M008258/1","['-185356', '-227807']"
"EP/K016954/1","['55434', '127861', '116107', '-399342']"
"EP/L004461/1","['-428891']"
"EP/K039954/1","['-164820']"
"EP/K009494/1","['9479']"
"EP/N029542/1","['-491729']"
"EP/N021789/1","['-462238']"
"EP/M027732/1","['-164820']"
"EP/M005062/1","['55631']"
"EP/G037140/1","['41034', '-19904']"
"EP/L023652/1","['73981', '27310', '-424369', '-285457', '71158']"
"EP/J015156/1","['73981', '-380352', '-285457']"
"EP/N017188/1","['77862', '9121', '37119', '-525913']"
"EP/M014169/1","['38932', '7457', '7270']"
"EP/M016110/1","['37119']"
"EP/M014452/1","['9121']"
"EP/M017702/1","['-444707']"
"EP/I017704/1","['2683', '123227']"
"EP/N010108/1","['-526256', '-528419']"
"EP/M020908/1","['-267459']"
"EP/L016869/1","['3172', '57277', '54016']"
"EP/K025597/1","['115013', '21422']"
"EP/M017699/1","['128498']"
"EP/K021710/1","['-181239']"
"EP/N509942/1","['-411687', '54467']"
"EP/M014134/1","['-485494']"
"EP/M003353/1","['49257', '31891', '44948', '-413480']"
"EP/M01696X/1","['-267459']"
"EP/M003159/1","['54484', '76878', '106121']"
"EP/M00337X/1","['67161']"
"EP/K026631/1","['44096', '-392303', '-206827', '76878', '24', '3330', '-158590', '122554', '118081', '54484', '110450']"
"EP/M003299/1","['21509', '8483']"
"EP/M01679X/1","['-175650']"
"EP/K026925/1","['11267', '49733', '80329', '57831', '56998', '-230095', '80634', '-219261']"
"EP/M003272/1","['-421608', '28545', '-252311', '37681']"
"EP/K016148/1","['76878', '33041', '63480']"
"EP/M017494/1","['-436262']"
"EP/M000362/1","['106056', '-115825']"
"EP/M000397/1","['57299', '-436262']"
"EP/N028597/1","['-485949']"
"EP/N509048/1","['-458747']"
"EP/N50905X/1","['57277']"
"EP/L005689/1","['-17783', '72711', '57277', '54016']"
"EP/M022498/1","['17379', '73419', '49267', '-189905']"
"EP/M023028/1","['-371414', '4014', '41278', '37464']"
"EP/L026538/1","['-284862']"
"EP/I035390/1","['-65', '-210395', '-195411', '-120116', '-117030', '2327', '-6727', '-7137', '71998', '91645', '14892', '39843', '-162396', '43352', '-163530', '-17172', '124317', '-725', '101452', '46170', '-357269', '124288', '-486252', '112882']"
"EP/G036608/1","['17161', '128510']"
"EP/M022382/1","['43512', '75095', '93015', '-457180', '-504693', '114696', '10949', '2673', '118308', '44011', '83429']"
"EP/N006569/1","['-457180']"
"EP/K041169/1","['-399882', '5067']"
"EP/K041088/1","['-46237']"
"EP/N010329/1","['-355397', '-118889', '40414']"
"EP/M017753/1","['-108863', '-77034']"
"EP/P002331/1","['122362', '-428479', '114595', '-55928']"
"EP/L016214/1","['41055', '-388694', '-399882', '5067', '21870', '2388', '111963', '100796', '-459068', '115977']"
"EP/L000180/1","['21787', '83173', '-413697']"
"EP/N007379/1","['90091']"
"EP/N007484/1","['67831', '-123453']"
"EP/L014661/1","['-416224']"
"EP/L014890/1","['-188212', '14993']"
"EP/L01467X/1","['93015', '-457180']"
"EP/K024442/1","['51210']"
"EP/K025589/1","['6532']"
"EP/M017354/1","['111963', '83173', '-287741', '83429']"
"EP/K006924/1","['2388', '-179452', '-56949', '-355397']"
"EP/J005541/1","['124288']"
"EP/P002285/1","['1488', '28886', '-553429', '-159146']"
"EP/N022947/1","['121224', '43512']"
"EP/N022955/1","['50344']"
"EP/N023285/1","['48696']"
"EP/M018865/1","['41055']"
"EP/L02523X/1","['-161405']"
"EP/L025191/1","['71998']"
"EP/N019237/1","['-491945']"
"EP/N028228/1","['34988', '-14173', '-89055', '95645', '-224585']"
"EP/J012041/1","['37987', '-425450', '125954']"
"EP/J012300/1","['-162605', '73220', '9896']"
"EP/M01214X/1","['-122700']"
"EP/M012123/1","['4504', '83922']"
"EP/N007085/1","['111872', '7963']"
"EP/K003623/2","['115947']"
"EP/G037043/1","['84687', '8964', '107816', '33120']"
"EP/I010394/1","['56695']"
"EP/J003875/1","['-188500']"
"EP/K030094/1","['96613']"
"EP/L016524/1","['84687', '107816', '56694', '33120']"
"EP/K030558/1","['107671', '111872']"
"EP/K03250X/1","['117031']"
"EP/L019620/1","['-421873']"
"EP/N004930/1","['-90293']"
"EP/N004647/1","['23987']"
"EP/I012044/1","['37419', '7963', '91923', '117038', '111872', '-160478']"
"EP/N011759/1","['-200560']"
"EP/N02253X/1","['-522306']"
"EP/L010844/1","['111872', '107671']"
"EP/J007021/1","['-109595', '42882', '111872']"
"EP/M014398/1","['42882', '-109595', '-95798']"
"EP/M014266/1","['94987', '-495285', '-240925']"
"EP/M024636/1","['97541']"
"EP/L00609X/1","['-431456']"
"EP/K026801/1","['24189', '-121233', '125775', '27835', '30818', '127063']"
"EP/L011964/1","['43154', '-182148', '-90907', '126822', '81943']"
"EP/K005758/1","['50959', '7112', '70825']"
"EP/M005755/1","['4556', '-9306', '55504']"
"EP/K021095/1","['54467', '-186246', '14765', '74254', '79363', '2683', '6408', '38013', '7979', '40837', '-15786', '56801', '11579', '15517', '21563', '29273', '36834', '131905']"
"EP/L025051/1","['-250323']"
"EP/K025236/1","['34806']"
"EP/K036890/1","['-556637', '-161526']"
"EP/K024574/1","['41915', '78508']"
"EP/K025155/1","['96871', '103493']"
"EP/K025163/1","['-119443']"
"EP/K025104/1","['-17922', '-366681']"
"EP/K024876/1","['42780', '-251554']"
"EP/K02924X/1","['100624', '5028']"
"EP/P001661/1","['46911', '15124', '8417', '-490657', '-481984', '-546102', '-546096', '-121731', '-100027']"
"EP/K020846/1","['92246']"
"EP/K020528/1","['116257', '50959', '7112']"
"EP/M002608/1","['50959', '7112', '70825']"
"EP/K029460/1","['5028']"
"EP/J016381/2","['42780', '89185', '67244']"
"EP/K025791/1","['91962', '78301', '21851', '112324']"
"EP/K026186/1","['80632']"
"EP/K025171/1","['-381140']"
"EP/K025082/1","['104071']"
"EP/K030914/1","['21300', '1809', '92802']"
"EP/M009424/1","['-410598', '-216727', '37684', '-12980', '5028', '7112', '9093', '116257', '-413925', '-271812', '81880', '34512', '-381140']"
"EP/N033876/1","['106024']"
"EP/N033841/1","['41915', '-556511']"
"EP/N033698/1","['42912', '15793', '-493358']"
"EP/P510233/1","['-150360']"
"EP/M001989/1","['92330', '114844', '34571', '-109967']"
"EP/M001946/1","['-99024']"
"EP/L000075/1","['-436909']"
"EP/J007404/1","['117703', '-153652', '12600', '5961', '2132', '127127', '57029', '115889']"
"EP/K015192/1","['71035', '34534']"
"EP/K014803/1","['35366']"
"EP/M021556/1","['-458860']"
"EP/M009599/1","['-493300']"
"EP/P510208/1","['27203']"
"EP/L01629X/1","['39154', '52694', '-184592', '-97525', '-101243', '10310', '-79678', '12945', '41039', '117583']"
"EP/J00331X/1","['35492']"
"EP/J001902/1","['-225607', '-182151', '-11497']"
"EP/P51018X/1","['45306', '61164', '-80756']"
"EP/P510154/1","['40140']"
"EP/N00230X/1","['125567', '-518807']"
"EP/N002326/1","['-37756']"
"EP/N002075/1","['42912']"
"EP/N024818/1","['73642', '-191507', '-189940', '53013', '-132821', '41165', '81738', '-72367', '-167226', '80335', '56409', '-454905', '31392']"
"EP/M015726/1","['52083']"
"EP/M016218/1","['45311']"
"EP/M017923/1","['-493909', '106108', '4871']"
"EP/P510191/1","['113265']"
"EP/L026899/1","['35366', '-459297']"
"EP/L026619/1","['17420']"
"EP/L026341/1","['34534']"
"EP/M006883/1","['-471482']"
"EP/N02690X/1","['-493817']"
"EP/L021978/1","['-200617']"
"EP/L020564/1","['41984', '-212193', '51895', '-188882', '75573', '-79240', '-80458', '7223', '41455', '56821', '65489']"
"EP/M020584/1","['6070', '86128', '11092', '-88304']"
"EP/N510051/1","['46177', '31891']"
"EP/L025159/1","['41984', '-188882', '-97242']"
"EP/M006948/1","['-93587']"
"EP/N028511/1","['-521636']"
"EP/N005481/1","['117173']"
"EP/K039083/1","['49642', '-417888', '-195521', '-436064', '-187256', '-126294', '13614', '-90040', '98121', '56426', '44685', '59395', '110657', '34707']"
"EP/I013717/1","['27122', '-236417', '-189999', '-199623', '-109533']"
"EP/N018958/1","['-530923']"
"EP/K014161/1","['76625', '-150346', '78398', '9858', '10387', '88857', '54369', '110493', '125669']"
"EP/L023393/1","['-454117']"
"EP/J002437/2","['-21575']"
"EP/L015374/1","['41081', '-208490', '-188815', '-129543', '794', '92027', '12980']"
"EP/N014529/1","['109629', '-213750', '-155326', '77032', '42685', '55263', '-471482', '-240187']"
"EP/N014499/1","['40650', '-198820', '-395121', '-21184', '-25307', '-111157', '-6882', '93053', '-40448', '-30909', '-49749', '25203', '57752', '118024', '-440293', '21727', '114123', '-448598', '-441051', '-246854', '32178']"
"EP/N014391/1","['106640', '82103', '29823', '-429174', '-116491', '74829', '43470', '-223180']"
"EP/L005131/1","['-419824']"
"EP/K037145/1","['61980', '115982', '66455', '69545']"
"EP/K012398/1","['-121488', '-213872', '50928', '-186148', '76480', '-102134', '-104233', '-102120', '-91536', '13540', '-88091', '-88122', '90582', '15837', '729', '58496', '54861', '123557', '102051', '57895', '58780', '68709', '-244873', '130377', '-222053', '-368728', '80634']"
"EP/K012347/1","['-399142', '34342', '-209472', '-197091', '50252', '54005', '-154535', '-153810', '-124688', '-180790', '-11230', '679', '-117265', '-163850', '-49647', '40306', '15519', '26550', '26587', '-283858', '68422', '-227962', '103969', '29356']"
"EP/N017064/1","['59459', '31821', '-210456', '-395173', '-156387', '37401', '-9371', '-7023', '80329', '12687', '124317', '102784', '27234', '-435920']"
"EP/K022288/1","['-414171']"
"EP/N006062/1","['-523565']"
"EP/M008495/1","['43470', '76935']"
"EP/L021013/1","['6728']"
"EP/G03706X/1","['53062', '110695']"
"EP/N029488/1","['-532783']"
"EP/K014226/1","['-212697', '76376', '97315', '33462']"
"EP/M003620/1","['-129543', '-188815', '75056']"
"EP/N00583X/1","['-113659', '100637', '14049', '-244718', '-208196', '-197091', '-202184', '-187589']"
"EP/J004057/1","['108534']"
"EP/G03723X/1","['22235', '70990', '21502']"
"EP/N002644/1","['-482889']"
"EP/K023578/1","['-223789', '-258048']"
