"EP/N014189/1","['71579', '-204760', '-405506', '11618', '5579', '21687']"
"EP/J002062/1","['-125821']"
"EP/K034383/1","['3544', '-417823', '-110937', '-161443', '55032']"
"EP/J500914/1","['-218763', '39143', '76149', '43470', '38641', '78876', '-493504']"
"EP/N019644/1","['-535131']"
"EP/M024512/1","['-250998']"
"EP/N007956/1","['-184794']"
"EP/N008359/1","['-110069']"
"EP/K041096/1","['-440236']"
"EP/M008460/1","['-409044']"
"EP/K036696/1","['42239']"
"EP/M015548/1","['-199972']"
"EP/I033343/1","['82846', '73675', '-354336', '-238040', '-159965', '-110960']"
"EP/J018260/1","['45932', '79039']"
"EP/I03372X/1","['23896', '11671', '-154669']"
"EP/K034456/1","['7851', '-182073', '46202', '-1955']"
"EP/M000389/1","['-398963', '-192571']"
"EP/L005328/1","['-216612']"
"EP/N010957/1","['-524082']"
"EP/K041002/1","['-439939']"
"EP/K02132X/1","['22603']"
"EP/K039407/1","['93143']"
"EP/K015478/1","['35', '-415369', '108991', '-354336']"
"EP/N003209/1","['-511269']"
"EP/N022378/1","['-498329']"
"EP/N00874X/1","['-509664']"
"EP/P004598/1","['-564577']"
"EP/M01746X/1","['-498090']"
"EP/J500884/1","['37755', '29315', '91872', '60732', '2583', '105371', '7600', '-304143', '17736', '-234889', '27121', '-181243', '-169388', '-169061', '55085']"
"EP/M02461X/1","['37336']"
"EP/K00865X/1","['82855', '115793', '-303874']"
"EP/M000648/1","['-253520']"
"EP/N007328/1","['9046']"
"EP/K010980/1","['-94214']"
"EP/N033353/1","['-94150']"
"EP/M027783/1","['-514798']"
"EP/P002447/1","['-510183']"
"EP/N02995X/1","['-304715']"
"EP/M024830/1","['42246', '-354336', '-191091', '39235', '84875']"
"EP/N002601/1","['-465564']"
"EP/K011588/1","['-465454']"
"EP/N005058/1","['-165196']"
"EP/N022513/1","['-109469']"
"EP/M011224/1","['-467860']"
"EP/M016773/1","['-468412']"
"EP/L026481/1","['-251516']"
"EP/L025485/1","['71594', '115928']"
"EP/L025302/1","['-192193']"
"EP/M029719/1","['-513260']"
"EP/J500926/1","['14726', '5127', '1373', '101454', '56751', '2221', '2493', '125287', '108100', '17694', '-253965', '-124727', '-12953', '66256']"
"EP/M027147/1","['-377843']"
"EP/J001686/2","['-100207']"
"EP/K019430/1","['71590']"
"EP/L01078X/1","['105402', '55579']"
"EP/N022432/1","['4996']"
"EP/L000865/1","['-424266']"
