Id	Label	Num
1	accelerator r&d	2
2	acoustics	28
3	aerodynamics	55
4	algebra & geometry	51
5	analytical science	70
6	applied arts htp	2
7	artificial intelligence	82
8	assess/remediate contamination	1
9	asymmetric chemistry	9
10	atoms & ions	6
11	behavioural & experimental eco	1
12	biochemical engineering	9
13	bioelectronic devices	13
14	bioenergy	26
15	bioinformatics	12
16	biological & medicinal chem.	17
17	biomaterials	58
18	biomechanics & rehabilitation	31
19	biomedical neuroscience	7
20	bionanoscience	2
21	biophysics	45
22	bioprocess engineering	13
23	building ops & management	39
24	carbon capture & storage	33
25	catalysis & applied catalysis	90
26	catalysis & enzymology	2
27	chemical biology	21
28	chemical structure	54
29	chemical synthetic methodology	51
30	civil engineering materials	24
31	climate & climate change	4
32	co-ordination chemistry	24
33	coal technology	1
34	coastal & waterway engineering	21
35	cognitive psychology	1
36	cognitive science appl. in ict	4
37	cold atomic species	8
38	combustion	48
39	complex fluids & soft solids	59
40	complexity science	42
41	composition	3
42	comput./corpus linguistics	3
43	computational linguistics	2
44	computer graphics & visual.	28
45	computer sys. & architecture	39
46	condensed matter physics	65
47	construction ops & management	17
48	continuum mechanics	67
49	control engineering	45
50	criminal law & criminology	2
51	criminology	3
52	design & testing technology	59
53	design engineering	42
54	design of process systems	74
55	design processes	17
56	development (biosciences)	1
57	development geography	1
58	developmental psychology	2
59	diamond light source	1
60	digital art & design	4
61	digital arts htp	3
62	digital signal processing	60
63	displays	5
64	drug formulation & delivery	31
65	earth engineering	1
66	economics	7
67	education	7
68	electric motor & drive systems	16
69	electrochemical science & eng.	31
70	electromagnetics	7
71	electronic devices & subsys.	100
72	energy - conventional	36
73	energy - marine & hydropower	29
74	energy - nuclear	56
75	energy efficiency	109
76	energy storage	66
77	eng. dynamics & tribology	44
78	environment & health	1
79	environmental economics	2
80	environmental planning	6
81	evolution & populations	1
82	fluid dynamics	46
83	food processing	3
84	food structure/composition	4
85	fuel cell technologies	47
86	fundamentals of computing	76
87	fusion	9
88	gas & solution phase reactions	65
89	genomics	7
90	geohazards	1
91	ground engineering	33
92	heat & mass transfer	44
93	high performance computing	36
94	human communication in ict	26
95	human geography (general)	6
96	human-computer interactions	88
97	image & vision computing	67
98	information & knowledge mgmt	108
99	instrumentation eng. & dev.	75
100	intelligent & expert systems	10
101	international law	1
102	international relations theory	1
103	knowledge management	2
104	land - ocean interactions	4
105	lasers & optics	41
106	light-matter interactions	18
107	logic & combinatorics	31
108	macro-molecular delivery	1
109	macroeconomics	3
110	magnetism/magnetic phenomena	56
111	management & business studies	20
112	manufact. business strategy	12
113	manufact. enterprise ops& mgmt	96
114	manufacturing machine & plant	202
115	marketing	2
116	materials characterisation	206
117	materials processing	118
118	materials synthesis & growth	194
119	materials testing & eng.	67
120	mathematical & statistic psych	1
121	mathematical analysis	44
122	mathematical aspects of or	20
123	mathematical physics	37
124	med.instrument.device& equip.	102
125	media & communication studies	5
126	medical imaging	43
127	medical science & disease	37
128	microeconomic theory	1
129	microsystems	63
130	mobile computing	36
131	modelling & simul. of it sys.	9
132	multimedia	12
133	multiphase flow	25
134	music & acoustic technology	11
135	musical performance	3
136	networks & distributed systems	96
137	new & emerging comp. paradigms	5
138	new media/web-based studies	8
139	non-linear systems mathematics	60
140	novel industrial products	2
141	numerical analysis	59
142	oil & gas extraction	8
143	optical communications	31
144	optical devices & subsystems	68
145	optical phenomena	21
146	optoelect. devices & circuits	92
147	organisational studies	3
148	parallel computing	14
149	particle technology	32
150	pavement engineering	4
151	physical organic chemistry	22
152	plant physiology	1
153	plant responses to environment	1
154	plasmas - laser & fusion	26
155	plasmas - technological	10
156	political geography	3
157	population ecology	3
158	power electronics	7
159	power sys man, prot & control	8
160	power systems plant	19
161	product design	1
162	protein chemistry	1
163	protein folding / misfolding	1
164	psychology	9
165	quantum fluids & solids	16
166	quantum optics & information	46
167	reactor engineering	25
168	rf & microwave technology	57
169	rheology	5
170	robotics & autonomy	56
171	scattering & spectroscopy	8
172	science & technology studies	5
173	separation processes	28
174	social anthropology	3
175	social policy	1
176	social psychology	3
177	social stats., comp. & methods	7
178	sociology	6
179	software engineering	63
180	soil science	3
181	solar technology	61
182	statistics & appl. probability	91
183	structural biology	1
184	structural engineering	32
185	surfaces & interfaces	45
186	survey & monitoring	1
187	sustainable energy networks	84
188	sustainable energy vectors	45
189	synthetic biology	20
190	system on chip	4
191	theoretical biology	9
192	time-based media htp	2
193	tissue engineering	36
194	transport ops & management	47
195	underwater engineering	3
196	urban & land management	55
197	vision & senses - ict appl.	17
198	vlsi design	4
199	waste management	9
200	waste minimisation	4
201	water engineering	40
202	wind power	17
