"EP/N005457/1","['Algebra & Geometry']"
"EP/M022641/1","['Algebra & Geometry', 'Algebra & Geometry', 'Logic & Combinatorics', 'Logic & Combinatorics']"
"EP/N006542/1","['Algebra & Geometry']"
"EP/M019292/1","['Algebra & Geometry']"
"EP/L002388/2","['Algebra & Geometry', 'Fundamentals of Computing', 'Logic & Combinatorics', 'Mathematical Analysis', 'Quantum Optics & Information']"
"EP/M009114/1","['Algebra & Geometry']"
"EP/L026570/1","['Algebra & Geometry']"
"EP/K040154/1","['Algebra & Geometry', 'Continuum Mechanics', 'Logic & Combinatorics', 'Mathematical Analysis', 'Mathematical Aspects of OR', 'Mathematical Physics', 'Non-linear Systems Mathematics', 'Numerical Analysis', 'Statistics & Appl. Probability']"
"EP/N016505/1","['Algebra & Geometry']"
"EP/N015452/1","['Algebra & Geometry']"
"EP/N027531/1","['Algebra & Geometry', 'Mathematical Analysis']"
"EP/M021858/1","['Algebra & Geometry']"
"EP/N033922/1","['Algebra & Geometry']"
"EP/N021649/1","['Algebra & Geometry']"
"EP/L015234/1","['Algebra & Geometry']"
"EP/L015684/1","['Algebra & Geometry', 'Non-linear Systems Mathematics', 'Numerical Analysis', 'Statistics & Appl. Probability']"
"EP/N034023/1","['Algebra & Geometry']"
"EP/N005716/1","['Algebra & Geometry']"
"EP/J002658/1","['Algebra & Geometry']"
"EP/N007360/1","['Algebra & Geometry']"
"EP/M023540/1","['Algebra & Geometry']"
"EP/M017982/1","['Algebra & Geometry', 'Biophysics', 'Complex fluids & soft solids', 'Continuum Mechanics', 'Statistics & Appl. Probability']"
"EP/M024202/1","['Algebra & Geometry', 'Continuum Mechanics']"
"EP/L005190/1","['Algebra & Geometry']"
"EP/K005545/1","['Algebra & Geometry']"
"EP/L018896/1","['Algebra & Geometry', 'Mathematical Analysis', 'Statistics & Appl. Probability']"
"EP/L013037/1","['Algebra & Geometry']"
"EP/N007158/1","['Algebra & Geometry', 'Mathematical Physics']"
"EP/L027283/1","['Algebra & Geometry']"
"EP/M001113/1","['Algebra & Geometry']"
"EP/K033654/1","['Algebra & Geometry']"
"EP/L017962/1","['Algebra & Geometry']"
"EP/M016641/1","['Algebra & Geometry', 'Logic & Combinatorics']"
"EP/K031066/1","['Algebra & Geometry', 'Manufacturing Machine & Plant', 'Statistics & Appl. Probability']"
"EP/M02525X/1","['Algebra & Geometry']"
"EP/M017516/1","['Algebra & Geometry']"
"EP/N034449/1","['Algebra & Geometry', 'Logic & Combinatorics']"
