"GR/L93171/01","[[['brown, professor rcd', '52838']], 51883]"
"GR/H60073/01","[[['johnstone, dr p', '8414']], 2349]"
"GR/L73340/01","[[['baikie, professor i', '21489']], 11195]"
"GR/L36857/01","[[['finch, professor e', '-247082']], 37101]"
"GR/K65904/01","[[['fletcher, professor pdi', '5326']], 91404]"
"GR/F78934/01","[[['rose, professor fd', '88836']], 87267]"
"GR/L96363/01","[[['clarke, dr a', '34616']], 114817]"
"GR/L38769/01","[[['clarke, dr a', '34616']], 57909]"
"GR/J58459/01","[[['kvasnik, dr f', '9077']], 188803]"
"GR/G11200/01","[[['ley, professor s', '9479'], ['phillips, professor d', '12432'], ['rzepa, professor h s', '13790']], 25000]"
"GR/H12836/01","[[['rzepa, professor h s', '13790'], ['ley, professor s', '9479']], 40000]"
"GR/K45357/01","[[['wallace, professor a', '16440'], ['buller, professor g', '2220'], ['walker, professor a', '16398']], 258969]"
"GR/G31819/01","[[['shippey, mr g', '14354'], ['russell, professor g', '13756'], ['brown, professor k', '25194']], 23591]"
"GR/K70137/01","[[['ivey, professor p', '27848'], ['seed, dr nl', '14113']], 288148]"
"GR/H47296/01","[[['sandham, professor w', '13885'], ['durrani, professor t', '4575']], 63382]"
"GR/K64785/01","[[['sheppard, professor cgw', '14305']], 175358]"
"GR/J88661/01","[[['moody, professor cj', '11076'], ['heaney, professor h', '7072']], 190977]"
"GR/M79264/01","[[['howarth, dr n', '57619']], 152269]"
"GR/H64538/01","[[['cronin, professor nj', '3587']], 15629]"
"GR/M01418/01","[[['robertson, professor i', '42474'], ['silva, professor srp', '42271'], ['lucyszyn, dr s', '43422']], 285249]"
"GR/M01326/01","[[['thayne, professor i', '42432'], ['beaumont, professor s', '74866'], ['beaumont, professor s', '1108']], 226261]"
"GR/M01296/01","[[['jastrzebski, mr a', '8210']], 206563]"
"GR/M01388/01","[[['robertson, professor i', '42474']], 76791]"
"GR/N05055/01","[[['todd, dr np', '48775'], ['wing, professor a', '51949']], 8475]"
"GR/H48286/01","[[['owens, professor dh', '11954'], ['rogers, professor e', '13542']], 56333]"
"GR/J33005/01","[[['clyne, professor tw', '21378'], ['clegg, professor wj', '21399'], ['cocks, professor ac', '3113']], 189731]"
"GR/L36048/01","[[['david, professor wif', '42759'], ['sivia, dr d', '45257']], 126394]"
"GR/L34488/02","[[['knowles, professor c', '26408']], 118134]"
"GR/L34488/01","[[['knowles, professor c', '26408']], 35601]"
"GR/L52154/01","[[['bucknall, professor d', '72792']], 47921]"
"GR/J28070/01","[[['strange, professor jh', '15236'], ['jacoby, dr r', '8138'], ['vennart, professor b', '16278'], ['halse, dr m', '6646']], 168357]"
"GR/K40765/01","[[['mccoll, professor w', '10446']], 305644]"
"GR/F92343/01","[[['sandler, professor m', '22235'], ['leavers, dr v', '60726'], ['leavers, dr v', '9310']], 90949]"
"GR/M95516/01","[[['burke, professor ek', '36435'], ['cowling, professor pi', '53920'], ['petrovic, professor s', '68066']], 190545]"
"GR/M42510/01","[[['swain, professor s', '15360']], 65061]"
