> Community 1:    2108 £343,516,410.00
> Community 2:     911 £420,484,635.00
> Community 3:    4038 £1,298,285,634.00
> Community 4:    2364 £799,910,032.00
> Community 5:    7301 £2,425,218,601.00
> Community 6:    1736 £636,546,478.00
> Community 7:    2606 £960,481,244.00
> Community 8:       0 £0.00

> Total:          21064 £6,884,443,034.00
> Total (unique): 16583 £4,861,360,216.00
