Source	Target	Type	Weight	TotalVal
8	30	Undirected	1.0	1400235
8	48	Undirected	3.0	5456702
8	50	Undirected	1.0	4353851
8	52	Undirected	6.0	4396173
8	65	Undirected	1.0	5468668
8	66	Undirected	1.0	465494
8	71	Undirected	3.0	2712611
8	73	Undirected	3.0	16372893
8	76	Undirected	2.0	683254
8	78	Undirected	1.0	461854
8	96	Undirected	2.0	1620946
8	102	Undirected	3.0	12127686
8	107	Undirected	1.0	4353851
8	112	Undirected	1.0	721298
8	114	Undirected	1.0	4353851
8	115	Undirected	2.0	1620946
8	116	Undirected	1.0	749583
9	10	Undirected	5.0	10738281
9	13	Undirected	1.0	1074212
9	14	Undirected	10.0	12562274
9	17	Undirected	25.0	48515901
9	22	Undirected	1.0	4066457
9	24	Undirected	3.0	1157567
9	26	Undirected	1.0	272387
9	27	Undirected	1.0	95703
9	38	Undirected	1.0	125266
9	40	Undirected	2.0	1810317
9	41	Undirected	1.0	1656509
9	42	Undirected	8.0	12496873
9	44	Undirected	1.0	4920206
9	48	Undirected	1.0	628709
9	51	Undirected	1.0	3502897
9	52	Undirected	1.0	628709
9	55	Undirected	7.0	6199841
9	57	Undirected	2.0	303492
9	58	Undirected	2.0	1351521
9	60	Undirected	5.0	18214192
9	61	Undirected	2.0	1396185
9	65	Undirected	14.0	33175745
9	68	Undirected	2.0	5449133
9	72	Undirected	1.0	4920206
9	74	Undirected	1.0	256836
9	80	Undirected	1.0	256836
9	82	Undirected	3.0	13731227
9	84	Undirected	6.0	14281237
9	87	Undirected	18.0	26865722
9	88	Undirected	4.0	5083592
9	94	Undirected	1.0	148602
9	96	Undirected	1.0	1046902
9	97	Undirected	1.0	1656509
9	102	Undirected	4.0	2358780
9	105	Undirected	5.0	2549486
9	109	Undirected	2.0	1138089
9	116	Undirected	3.0	1636186
10	13	Undirected	2.0	589170
10	14	Undirected	8.0	6836093
10	15	Undirected	3.0	720665
10	17	Undirected	2.0	1152485
10	22	Undirected	4.0	4992989
10	23	Undirected	1.0	3868978
10	24	Undirected	19.0	7103327
10	25	Undirected	19.0	25633898
10	26	Undirected	18.0	21519091
10	27	Undirected	3.0	2211250
10	34	Undirected	3.0	6785409
10	39	Undirected	1.0	1004316
10	42	Undirected	3.0	7978350
10	43	Undirected	2.0	1268185
10	52	Undirected	1.0	2992297
10	53	Undirected	3.0	786610
10	57	Undirected	2.0	1208753
10	60	Undirected	14.0	8428085
10	61	Undirected	2.0	783913
10	63	Undirected	1.0	866380
10	65	Undirected	2.0	6060837
10	68	Undirected	1.0	4820424
10	73	Undirected	2.0	4249989
10	76	Undirected	2.0	1339043
10	80	Undirected	2.0	836245
10	81	Undirected	1.0	2270296
10	84	Undirected	2.0	844463
10	87	Undirected	9.0	13064710
10	91	Undirected	3.0	5028538
10	92	Undirected	2.0	4714644
10	97	Undirected	1.0	114916
10	101	Undirected	1.0	182100
10	102	Undirected	5.0	10725731
10	104	Undirected	3.0	10835445
10	105	Undirected	4.0	7135428
10	109	Undirected	1.0	592169
10	110	Undirected	1.0	405368
10	116	Undirected	1.0	749583
11	12	Undirected	1.0	12592
11	19	Undirected	3.0	2684437
11	23	Undirected	4.0	7931505
11	35	Undirected	14.0	27851281
11	36	Undirected	3.0	7253543
11	39	Undirected	3.0	10247642
11	40	Undirected	5.0	5543519
11	41	Undirected	1.0	4980773
11	42	Undirected	2.0	947093
11	45	Undirected	1.0	3910923
11	46	Undirected	7.0	17679504
11	48	Undirected	1.0	3910923
11	50	Undirected	1.0	3910923
11	52	Undirected	3.0	11548125
11	58	Undirected	1.0	12592
11	60	Undirected	1.0	12592
11	69	Undirected	1.0	5930480
