Id	Label	Num
28948	aylett, professor r	1	
103946	aylott, dr j	1	
41623	azapagic, professor a	2	
-403269	azzopardi, professor b	1	
643	azzopardi, professor b	2	
41906	babinsky, professor h	2	
-185192	bacardit, dr j	2	
650	bache, professor m r	2	
37749	badcock, professor k	2	
61248	baddeley, dr cj	1	
72832	baddeley, dr r	1	
42254	baden fuller, professor c	1	
44684	bader, professor dl	2	
28335	badnell, professor n	1	
668	badyal, professor jp	1	
92844	bagnall, dr a	1	
71224	bagnall, professor d	1	
-93913	bagot, dr paj	3	
-220692	baguley, dr p	1	
66096	bahai, professor h	1	
679	bahaj, professor as	4	
106121	bai, dr y	1	
-192585	bailey, dr mj	1	
30486	bailey, professor c	2	
705	bain, professor c	2	
59146	baines, professor t	1	
106154	bakalis, dr s	1	
-187085	baker, dr jr	1	
-101167	baker, dr mj	1	
-417641	baker, dr n	1	
-402090	baker, dr p j	1	
729	baker, professor cj	3	
731	baker, professor hj	1	
-304511	baker, professor r	1	
125456	baker, professor sn	2	
-417821	balaam, dr m	1	
49973	balabani, dr s	1	
27691	balakrishnan, professor g	3	
-160945	balanov, dr ag	1	
46533	balding, professor dj	1	
-27140	baldwin, dr g	3	
-537220	baldycheva, dr aa	1	
-414171	bale, dr c	2	
-187038	baletto, dr f	1	
783	balkan, professor n	1	
115013	ball, dr rj	2	
27531	ball, professor ad	1	
790	ball, professor fg	1	
38487	ball, professor k	1	
-255274	ball, professor ks	1	
70039	ball, professor pd	2	
794	ball, professor rc	1	
800	ball, professor sir j	2	
-182177	ballard, professor c	1	
-421255	balocco, dr c	1	
62151	bamber, dr jc	1	
112412	bandara, dr ak	2	
823	banerjee, professor jr	1	
44119	banister, professor d	1	
835	banks, professor c	3	
-159583	banks, professor ce	1	
-182148	bannister, dr cd	1	
109629	barahona, professor m	1	
94544	barakos, professor g	1	
25929	barber, dr z	1	
-26709	barbour, dr me	1	
42912	barigou, professor m	3	
-320139	barker, dr a	1	
119644	barker, dr g	1	
94924	barker, dr j	1	
50535	barker, professor ja	1	
90693	barker, professor pf	3	
28709	barlow, dr cy	1	
110478	barlow, professor j	1	
56605	barlow, professor r	1	
42722	barltrop, professor n	1	
-100419	barnes, dr dj	1	
-186466	barnes, dr m	1	
53866	barnes, professor m	3	
29233	barnes, professor wl	4	
-502922	barney, dr e r	1	
-428824	barr, dr e	2	
-7023	barr, dr s	1	
126913	barratt, dr dc	1	
-419824	barrett, dr a	1	
-169900	barrett, dr m	2	
-21184	barrett, dr s	2	
50377	barrett, mr d	1	
955	barrett, professor da	1	
101551	barrett, professor j	3	
117861	barrett, professor mp	1	
952	barrett, professor t	1	
69369	barria, dr j	1	
42124	barrow, professor da	1	
-4440	barrow, professor p	1	
-493886	bartel, dr a	1	
-3354	barter, dr lmc	1	
-387899	barthorpe, dr r j	1	
-394547	bartle, professor r a	1	
95505	bartlett, dr l	4	
29058	bartlett, professor pn	3	
28545	basheer, professor m	3	
-417465	bastien, mr c	1	
55374	batchelor, professor j	2	
83354	bate, dr i	1	
-216612	bate, dr m	1	
-45486	bate, professor ps	1	
70840	bates, professor d	3	
101042	batley, dr r	1	
132038	battaglia, professor g	2	
1051	battle, professor p	1	
43140	batty, professor m	1	
78329	bauen, dr aw	1	
47424	baumberg, professor jj	5	
-160027	baumberger, professor f	1	
107194	baurley, professor s	2	
-557000	bausch, dr n	1	
-295727	bayer, dr t s	3	
103249	bayly, professor a	1	
84263	bayston, professor r	1	
34745	bayvel, professor p	2	
1080	beach, professor m	4	
-409272	beale, professor a	2	
-4361	beale, professor mh	1	
-189445	beale, professor r	1	
-99150	beales, dr p a	2	
70023	beanland, dr r	1	
43668	beard, professor pc	3	
67077	beardmore, professor re	1	
-111157	bearon, dr rn	1	
94512	bearpark, professor m	2	
-418213	beaumont, dr sk	1	
74866	beaumont, professor s	1	
92710	becerra, professor vm	2	
-40608	beck, professor c	1	
1116	becker, professor a	1	
-494087	becque, dr j	1	
69970	bedford, professor rb	1	
29229	beeby, professor a	1	
40402	beeby, professor sp	2	
71608	bees, professor ma	1	
-284862	beevers, dr l	2	
70825	begg, dr s	2	
-127748	behrens, professor tej	1	
-189728	bektas, professor t	1	
79777	belcher, professor se	1	
-464939	bell, dr a j	1	
-489119	bell, dr c	1	
-193275	bell, dr dj	1	
83008	bell, dr gr	1	
37889	bell, dr r	1	
106116	bell, dr s	1	
-118566	bell, dr sj	1	
43864	bell, professor aj	1	
-215824	bell, professor ar	1	
-104967	bell, professor krw	3	
1182	bell, professor sej	1	
-165196	bellamy, dr ge	1	
1210	belmont, professor mr	1	
-402773	belyaev, dr d	1	
-520260	ben smida, dr s	1	
-458248	ben-artzi, dr j	1	
1216	bending, professor sj	3	
-83354	benedikt, professor j	1	
-185626	benedikt, professor m	3	
1219	benford, professor s	6	
-446548	bengoechea, professor ja	1	
106937	bengough, dr ag	1	
-421154	benitez-alfonso, dr y	1	
107924	bennell, professor j	1	
-128539	beresford, dr ar	1	
79039	beresnevich, professor v	1	
-154669	berestycki, dr n	2	
-495049	beri, dr b	1	
-458918	bernardes, dr gjl	1	
56751	berndt, professor j	1	
-186552	berners-lee, professor sir tj	1	
-544833	berry, dr r	1	
-230710	berry, professor c	1	
89149	berry, professor rm	1	
-253069	bertsche, dr wa	1	
-270211	beskos, dr a	1	
74007	besley, dr na	2	
116950	besley, professor e	1	
70889	best, dr ai	1	
62186	best, dr m	1	
-438437	best, dr rj	1	
54564	best, professor s	1	
-352281	bethune, mr i	2	
1313	beton, professor ph	3	
-176708	betouras, dr j	1	
115876	betts, dr tr	1	
-506982	bevan, dr a	1	
1329	beven, professor k	1	
-417790	beyersdorff, dr o	1	
1352	bhadeshia, professor h	2	
-373541	bhagat, dr r	4	
68829	bhalerao, dr a	1	
-110554	bhaseen, dr mj	1	
72886	bhaskar, dr a	1	
-366390	bhaskaran, professor h	4	
60615	bhattacharyya, prof lord sk	1	
1361	bialek, professor jw	4	
-116543	bickerstaff, dr kj	1	
-391575	bidaut, professor l	1	
-384413	bigg, professor m	1	
95094	biggs, professor ca	2	
1373	biggs, professor n	1	
-271976	bignold, dr w j	1	
108020	bijeljic, dr b	1	
74829	biktashev, professor vn	1	
50716	billingham, professor j	1	
25230	billings, professor sa	1	
44759	billowes, professor j	1	
61551	billson, dr dr	2	
-254236	bilotti, dr e	1	
-259812	bilzon, dr j l j	1	
-143094	bingham, dr pa	1	
82895	binks, dr dj	2	
1396	binner, professor j	2	
-189771	birch, dr dm	2	
106052	birchall, professor j	1	
-254877	birchall, professor ma	1	
-20444	birdi, dr ks	1	
-560729	birgisson, professor b	1	
27234	birkin, professor m	3	
41812	birks, professor ta	2	
-430733	birosca, dr s	1	
-199265	bisby, dr la	1	
-492027	biscontin, dr g	1	
121962	bishop, professor p	1	
110062	bismarck, professor a	6	
1450	bititci, professor us	2	
-399351	black, dr e	1	
-413944	black, dr k	1	
28648	black, dr ra	1	
56819	blackburn, professor s	1	
36732	blacker, professor aj	2	
-6708	blackford, mr j	1	
-443602	blackstock, dr j	1	
-395173	blainey, dr sp	3	
1488	blair, professor g	5	
1493	blake, professor a	1	
128801	blamire, professor am	1	
1509	blamire, professor m	2	
-450062	blanc, dr f	1	
-121218	blanchard, dr r	2	
41037	blandford, professor a	2	
-114175	bleeck, dr s	1	
-491945	blenkinsopp, dr c e d	1	
94938	blindauer, dr ca	1	
-421218	blockley, dr np	1	
-255734	blom, professor a	1	
31254	bloomfield, professor r	2	
-86458	bloor, professor ke	1	
-55928	blower, dr jd	1	
1547	blower, professor p	1	
76916	bluck, dr mj	3	
-304143	blue, dr p	1	
-99024	blumberger, dr j	1	
-26511	blumensath, dr t	1	
38091	blundell, professor s	3	
-286050	blunsom, dr p	1	
-462238	blunt, dr m	1	
53872	blunt, professor l	1	
73058	blunt, professor mj	3	
111377	blyth, dr m	1	
57895	blythe, professor p	2	
-109533	blyuss, dr k	1	
-302572	boait, dr p j	1	
-215737	bocchi, dr l	1	
-188643	bochkina, dr n	1	
-370273	bock, dr a	1	
-407054	bode, dr b e	1	
-282455	boden, dr sa	1	
-525913	bogani, dr l	1	
