Source	Target	Type	Weight
101564	-251824	Undirected	1.0
101564	81895	Undirected	1.0
101564	104071	Undirected	1.0
24189	56727	Undirected	1.0
24189	17143	Undirected	1.0
24189	55710	Undirected	1.0
24189	89185	Undirected	1.0
24189	-251824	Undirected	1.0
24189	81895	Undirected	1.0
24189	104071	Undirected	1.0
56727	113809	Undirected	1.0
56727	-393156	Undirected	1.0
56727	58157	Undirected	1.0
56727	70395	Undirected	1.0
56727	117837	Undirected	1.0
56727	34631	Undirected	1.0
56727	-236908	Undirected	1.0
113809	-393156	Undirected	1.0
113809	58157	Undirected	1.0
113809	70395	Undirected	1.0
113809	117837	Undirected	1.0
113809	34631	Undirected	1.0
113809	-236908	Undirected	1.0
17143	55710	Undirected	1.0
17143	89185	Undirected	1.0
17143	-251824	Undirected	1.0
17143	81895	Undirected	1.0
17143	104071	Undirected	1.0
-393156	55710	Undirected	1.0
-393156	89185	Undirected	1.0
-393156	-251824	Undirected	1.0
-393156	81895	Undirected	1.0
-393156	104071	Undirected	1.0
55710	58157	Undirected	1.0
55710	70395	Undirected	1.0
55710	117837	Undirected	1.0
55710	34631	Undirected	1.0
55710	-236908	Undirected	1.0
58157	70395	Undirected	1.0
58157	117837	Undirected	1.0
58157	34631	Undirected	1.0
58157	-236908	Undirected	1.0
89185	-251824	Undirected	1.0
89185	81895	Undirected	1.0
89185	104071	Undirected	1.0
70395	-251824	Undirected	1.0
70395	81895	Undirected	1.0
70395	104071	Undirected	1.0
-251824	117837	Undirected	1.0
-251824	34631	Undirected	1.0
-251824	-236908	Undirected	1.0
117837	34631	Undirected	1.0
117837	-236908	Undirected	1.0
81895	104071	Undirected	1.0
34631	104071	Undirected	1.0
104071	-236908	Undirected	1.0
50145	102086	Undirected	3.0
22096	115780	Undirected	1.0
-188117	50145	Undirected	1.0
95123	-208106	Undirected	1.0
-201176	91632	Undirected	1.0
91632	2652	Undirected	1.0
15493	99032	Undirected	3.0
15493	-183918	Undirected	1.0
15493	28727	Undirected	1.0
15493	72611	Undirected	1.0
102975	117299	Undirected	1.0
102975	-95524	Undirected	1.0
102975	55346	Undirected	1.0
99032	117299	Undirected	1.0
99032	-95524	Undirected	1.0
99032	55346	Undirected	1.0
117299	-183918	Undirected	1.0
117299	28727	Undirected	1.0
117299	72611	Undirected	1.0
-183918	28727	Undirected	1.0
-183918	72611	Undirected	1.0
-95524	55346	Undirected	1.0
28727	55346	Undirected	1.0
55346	72611	Undirected	1.0
55914	51895	Undirected	1.0
55914	9409	Undirected	1.0
55914	65489	Undirected	1.0
-209647	51895	Undirected	1.0
-209647	9409	Undirected	1.0
-209647	65489	Undirected	1.0
51895	-191201	Undirected	1.0
51895	120513	Undirected	1.0
51895	110741	Undirected	1.0
-191201	65489	Undirected	1.0
9409	120513	Undirected	1.0
9409	110741	Undirected	1.0
120513	110741	Undirected	1.0
74624	34877	Undirected	1.0
74624	34631	Undirected	1.0
74624	32011	Undirected	1.0
34877	34631	Undirected	1.0
34877	32011	Undirected	1.0
-136595	33125	Undirected	1.0
34631	33125	Undirected	1.0
33125	32011	Undirected	1.0
-254212	48379	Undirected	1.0
-254212	11944	Undirected	1.0
48379	-464044	Undirected	1.0
48379	24593	Undirected	2.0
11944	24593	Undirected	1.0
6625	-208106	Undirected	1.0
6625	43529	Undirected	1.0
6625	95123	Undirected	1.0
-253634	21890	Undirected	1.0
-253634	34685	Undirected	1.0
-208106	21890	Undirected	1.0
-208106	34685	Undirected	1.0
21890	43529	Undirected	1.0
21890	95123	Undirected	1.0
43529	95123	Undirected	1.0
9521	98013	Undirected	1.0
9521	-305882	Undirected	1.0
9521	-304420	Undirected	1.0
9521	9412	Undirected	1.0
9521	-186974	Undirected	1.0
9521	17665	Undirected	1.0
9521	63596	Undirected	1.0
9521	128005	Undirected	1.0
9521	128007	Undirected	1.0
9521	38101	Undirected	1.0
9521	-384391	Undirected	1.0
9521	-497881	Undirected	1.0
9521	-496684	Undirected	1.0
9521	60004	Undirected	1.0
98013	-305882	Undirected	1.0
98013	-304420	Undirected	1.0
98013	9412	Undirected	1.0
98013	-186974	Undirected	1.0
98013	17665	Undirected	1.0
98013	63596	Undirected	1.0
98013	128005	Undirected	1.0
98013	128007	Undirected	1.0
98013	38101	Undirected	1.0
98013	-384391	Undirected	1.0
98013	-497881	Undirected	1.0
98013	-496684	Undirected	1.0
98013	60004	Undirected	1.0
69849	-242884	Undirected	1.0
69849	-252576	Undirected	1.0
69849	-189771	Undirected	1.0
69849	413	Undirected	1.0
69849	53031	Undirected	1.0
69849	-95655	Undirected	1.0
69849	128006	Undirected	1.0
69849	37719	Undirected	1.0
69849	21483	Undirected	1.0
69849	-496686	Undirected	1.0
69849	-528291	Undirected	1.0
69849	55263	Undirected	1.0
-305882	-242884	Undirected	1.0
-305882	-252576	Undirected	1.0
-305882	-189771	Undirected	1.0
-305882	413	Undirected	1.0
-305882	53031	Undirected	1.0
-305882	-95655	Undirected	1.0
-305882	128006	Undirected	1.0
-305882	37719	Undirected	1.0
-305882	21483	Undirected	1.0
-305882	-496686	Undirected	1.0
-305882	-528291	Undirected	1.0
-305882	55263	Undirected	1.0
-242884	-304420	Undirected	1.0
-242884	9412	Undirected	1.0
-242884	-186974	Undirected	1.0
-242884	17665	Undirected	1.0
-242884	63596	Undirected	1.0
-242884	128005	Undirected	1.0
-242884	128007	Undirected	1.0
-242884	38101	Undirected	1.0
-242884	-384391	Undirected	1.0
-242884	-497881	Undirected	1.0
-242884	-496684	Undirected	1.0
-242884	60004	Undirected	1.0
-304420	9412	Undirected	1.0
-304420	-186974	Undirected	1.0
-304420	17665	Undirected	1.0
-304420	63596	Undirected	1.0
-304420	128005	Undirected	1.0
-304420	128007	Undirected	1.0
-304420	38101	Undirected	1.0
-304420	-384391	Undirected	1.0
-304420	-497881	Undirected	1.0
-304420	-496684	Undirected	1.0
-304420	60004	Undirected	1.0
-252576	-189771	Undirected	2.0
-252576	413	Undirected	1.0
-252576	53031	Undirected	1.0
-252576	-95655	Undirected	1.0
-252576	128006	Undirected	1.0
-252576	37719	Undirected	1.0
-252576	21483	Undirected	1.0
-252576	-496686	Undirected	1.0
-252576	-528291	Undirected	1.0
-252576	55263	Undirected	1.0
9412	-189771	Undirected	1.0
9412	413	Undirected	1.0
9412	53031	Undirected	1.0
9412	-95655	Undirected	1.0
9412	128006	Undirected	1.0
9412	37719	Undirected	1.0
9412	21483	Undirected	1.0
9412	-496686	Undirected	1.0
9412	-528291	Undirected	1.0
