Id,Label,Num,Val
-25110,avison, dr mb,1,592169
78875,avital, dr e,1,572579
-490422,awan, dr s,1,988105
-15736,axinte, professor da,2,2529189
131198,aylett, dr mp,1,1134805
28948,aylett, professor r,1,711763
41623,azapagic, professor a,2,10259160
-403269,azzopardi, professor b,1,1139185
643,azzopardi, professor b,2,5589755
41906,babinsky, professor h,2,17720721
-185192,bacardit, dr j,2,6381497
650,bache, professor m r,2,17409372
37749,badcock, professor k,2,776809
72832,baddeley, dr r,1,567595
42254,baden fuller, professor c,1,939389
44684,bader, professor dl,2,645669
28335,badnell, professor n,1,326261
92844,bagnall, dr a,1,317804
71224,bagnall, professor d,1,4088360
-93913,bagot, dr paj,3,6455059
-220692,baguley, dr p,1,929054
66096,bahai, professor h,1,582939
679,bahaj, professor as,4,11431244
106121,bai, dr y,1,508163
-192585,bailey, dr mj,1,513369
30486,bailey, professor c,2,6085158
705,bain, professor c,2,7092017
59146,baines, professor t,1,727672
106154,bakalis, dr s,1,5699187
-187085,baker, dr jr,1,564009
-101167,baker, dr mj,1,188407
-417641,baker, dr n,1,856132
-402090,baker, dr p j,1,1221082
729,baker, professor cj,3,4845580
731,baker, professor hj,1,5571751
-304511,baker, professor r,1,671817
125456,baker, professor sn,2,5545097
-417821,balaam, dr m,1,4051357
49973,balabani, dr s,1,50372
27691,balakrishnan, professor g,3,1930164
46533,balding, professor dj,1,401382
-27140,baldwin, dr g,3,12092848
-414171,bale, dr c,2,1420599
783,balkan, professor n,1,675876
115013,ball, dr rj,2,2963713
27531,ball, professor ad,1,4834361
790,ball, professor fg,1,777199
38487,ball, professor k,1,1629559
-255274,ball, professor ks,1,699390
70039,ball, professor pd,2,5466290
794,ball, professor rc,1,3692569
800,ball, professor sir j,2,4343871
-421255,balocco, dr c,1,709834
62151,bamber, dr jc,1,8197
112412,bandara, dr ak,2,1129318
44119,banister, professor d,1,3539215
835,banks, professor c,3,3714797
-159583,banks, professor ce,1,509085
-182148,bannister, dr cd,1,179235
109629,barahona, professor m,1,2056655
94544,barakos, professor g,1,145535
25929,barber, dr z,1,426652
-26709,barbour, dr me,1,592169
42912,barigou, professor m,3,1852383
-320139,barker, dr a,1,630232
119644,barker, dr g,1,2488954
94924,barker, dr j,1,418262
50535,barker, professor ja,1,961107
90693,barker, professor pf,3,2143359
28709,barlow, dr cy,1,352523
56605,barlow, professor r,1,1927885
42722,barltrop, professor n,1,745542
-186466,barnes, dr m,1,125995
53866,barnes, professor m,3,4142271
29233,barnes, professor wl,4,10637880
-428824,barr, dr e,2,646424
-7023,barr, dr s,1,5374638
126913,barratt, dr dc,1,352913
-169900,barrett, dr m,2,2831745
-21184,barrett, dr s,2,3784498
50377,barrett, mr d,1,466444
955,barrett, professor da,1,99751
101551,barrett, professor j,3,16780506
117861,barrett, professor mp,1,3403307
69369,barria, dr j,1,763980
42124,barrow, professor da,1,688878
-4440,barrow, professor p,1,491232
-3354,barter, dr lmc,1,4617554
-387899,barthorpe, dr r j,1,745782
-394547,bartle, professor r a,1,5589506
95505,bartlett, dr l,4,8266992
29058,bartlett, professor pn,3,12672683
28545,basheer, professor m,3,5061413
-417465,bastien, mr c,1,394947
55374,batchelor, professor j,2,2011466
83354,bate, dr i,1,652126
-45486,bate, professor ps,1,5762121
70840,bates, professor d,3,6801236
101042,batley, dr r,1,122251
132038,battaglia, professor g,2,1526126
1051,battle, professor p,1,451698
43140,batty, professor m,1,4000602
78329,bauen, dr aw,1,1560086
47424,baumberg, professor jj,5,17713425
-160027,baumberger, professor f,1,5528990
107194,baurley, professor s,2,2140925
-557000,bausch, dr n,1,183212
-295727,bayer, dr t s,3,15240536
103249,bayly, professor a,1,2270296
84263,bayston, professor r,1,491232
34745,bayvel, professor p,2,5393823
1080,beach, professor m,4,11769758
-409272,beale, professor a,2,1890050
-4361,beale, professor mh,1,2524593
-189445,beale, professor r,1,629187
-99150,beales, dr p a,2,1334043
70023,beanland, dr r,1,6331952
43668,beard, professor pc,3,6253107
-111157,bearon, dr rn,1,2004298
94512,bearpark, professor m,2,5911171
-418213,beaumont, dr sk,1,1554153
74866,beaumont, professor s,1,5191661
92710,becerra, professor vm,2,891514
-40608,beck, professor c,1,497381
1116,becker, professor a,1,171430
69970,bedford, professor rb,1,630649
40402,beeby, professor sp,2,13934505
71608,bees, professor ma,1,402902
-284862,beevers, dr l,2,1143258
70825,begg, dr s,2,720923
-127748,behrens, professor tej,1,432764
-189728,bektas, professor t,1,1161862
79777,belcher, professor se,1,359271
-464939,bell, dr a j,1,892226
-193275,bell, dr dj,1,645924
83008,bell, dr gr,1,622825
37889,bell, dr r,1,4559973
106116,bell, dr s,1,908086
-215824,bell, professor ar,1,279240
-104967,bell, professor krw,3,15933080
1182,bell, professor sej,1,395371
1216,bending, professor sj,3,5097650
-83354,benedikt, professor j,1,562873
-185626,benedikt, professor m,3,3068635
1219,benford, professor s,6,19816847
-446548,bengoechea, professor ja,1,395371
106937,bengough, dr ag,1,639895
-421154,benitez-alfonso, dr y,1,98506
107924,bennell, professor j,1,285247
-128539,beresford, dr ar,1,1975496
79039,beresnevich, professor v,1,1646779
-154669,berestycki, dr n,2,2503028
56751,berndt, professor j,1,150000
-186552,berners-lee, professor sir tj,1,2667741
-544833,berry, dr r,1,1741953
-230710,berry, professor c,1,1998909
89149,berry, professor rm,1,5468668
-270211,beskos, dr a,1,401382
74007,besley, dr na,2,1028490
116950,besley, professor e,1,1229895
70889,best, dr ai,1,893883
62186,best, dr m,1,1500938
-438437,best, dr rj,1,364318
54564,best, professor s,1,1402267
-352281,bethune, mr i,2,643392
1313,beton, professor ph,3,2149782
-176708,betouras, dr j,1,374728
115876,betts, dr tr,1,1023088
-506982,bevan, dr a,1,201086
1329,beven, professor k,1,849785
1352,bhadeshia, professor h,2,8161315
-373541,bhagat, dr r,4,4510342
68829,bhalerao, dr a,1,1656843
-110554,bhaseen, dr mj,1,3868978
72886,bhaskar, dr a,1,466444
-366390,bhaskaran, professor h,4,6521568
60615,bhattacharyya, prof lord sk,1,1250000
1361,bialek, professor jw,4,12000390
-116543,bickerstaff, dr kj,1,242250
-391575,bidaut, professor l,1,812350
-384413,bigg, professor m,1,363964
95094,biggs, professor ca,2,4209318
1373,biggs, professor n,1,150000
-271976,bignold, dr w j,1,2690768
108020,bijeljic, dr b,1,394628
74829,biktashev, professor vn,1,2008955
50716,billingham, professor j,1,377905
25230,billings, professor sa,1,4859494
44759,billowes, professor j,1,3593201
61551,billson, dr dr,2,5672944
-254236,bilotti, dr e,1,88337
-259812,bilzon, dr j l j,1,3994055
82895,binks, dr dj,2,1092440
1396,binner, professor j,2,4082041
-189771,birch, dr dm,2,5649829
106052,birchall, professor j,1,564437
-254877,birchall, professor ma,1,845502
-20444,birdi, dr ks,1,3962860
-560729,birgisson, professor b,1,403478
27234,birkin, professor m,3,6756762
41812,birks, professor ta,2,9774560
-430733,birosca, dr s,1,7939564
-492027,biscontin, dr g,1,1328464
121962,bishop, professor p,1,402738
110062,bismarck, professor a,6,15571848
1450,bititci, professor us,2,8542677
-413944,black, dr k,1,498835
28648,black, dr ra,1,4097771
36732,blacker, professor aj,2,3372316
-6708,blackford, mr j,1,4041368
-443602,blackstock, dr j,1,4559841
-395173,blainey, dr sp,3,10620765
1488,blair, professor g,5,10167785
128801,blamire, professor am,1,149777
1509,blamire, professor m,2,3141723
-121218,blanchard, dr r,2,3116857
41037,blandford, professor a,2,1552394
-114175,bleeck, dr s,1,613105
94938,blindauer, dr ca,1,4112093
-255734,blom, professor a,1,11683481
31254,bloomfield, professor r,2,965827
-86458,bloor, professor ke,1,397354
-55928,blower, dr jd,1,1706722
1547,blower, professor p,1,3649437
76916,bluck, dr mj,3,4947091
-304143,blue, dr p,1,150000
-26511,blumensath, dr t,1,613105
38091,blundell, professor s,3,2581015
53872,blunt, professor l,1,4834361
73058,blunt, professor mj,3,6092505
111377,blyth, dr m,1,461979
57895,blythe, professor p,2,8627015
-109533,blyuss, dr k,1,3610642
-188643,bochkina, dr n,1,1629559
-370273,bock, dr a,1,4536459
-282455,boden, dr sa,1,800500
-525913,bogani, dr l,1,5296044
-475109,bohndiek, dr se,2,4997422
-384391,boies, dr a,3,11408770
-428479,bokhove, professor o,2,2119247
-491782,bolton, dr r,1,580962
48606,bond, professor g,2,3237707
68917,bond, professor ip,3,18405721
-2464,bonev, dr b,1,262685
