"/S06172/01","['81943']"
"/T09477/01","['103930', '8120', '119222']"
"/R60737/01","['27096', '92330']"
"/R55054/01","['49420']"
"/A01275/02","['41482']"
"/A01275/01","['41482']"
"/A01312/01","['668']"
"EP/C525787/1","['118918', '88913', '36776', '82256', '34646', '7247', '27986', '643']"
"EP/F066171/1","['-144863', '-163086']"
"/M88280/01","['51807', '66808', '1598', '51595', '50460', '37692', '54484']"
"/N66551/01","['58669', '15868', '16532', '40973', '4558', '109447', '26575', '38108', '31050']"
"/N67282/01","['11484', '69861', '30395', '30396', '45', '49479', '13968', '23871', '31961']"
"/M88167/01","['1176', '70390', '10342', '29799', '50628', '2973', '16631', '372', '35263', '37763']"
"/M88617/01","['8936', '8006', '12378']"
"/M91211/01","['17146', '49125', '50725', '37263', '1949', '48452', '42725', '11031', '17139', '71061', '55264']"
"/M92478/01","['15576', '41058', '-23699']"
"/M92942/01","['10667', '70786', '70787']"
"/M92287/01","['44221', '61574', '61581', '7963', '46116', '46040', '6857', '7713']"
"/M91938/01","['16264', '21769', '22102']"
"/M92874/01","['4405', '11308', '35858', '36819']"
"/M92034/01","['42975', '32006', '4136', '17379', '17722']"
"/M92560/01","['21314', '12600']"
"/M91501/01","['1080', '36319', '57066']"
"/M91655/01","['12573', '9043', '71098', '8428', '7204', '42401', '37709']"
"/M92300/01","['42474', '42642', '43422']"
"/M91754/01","['69656', '15074', '44687']"
"/M92935/01","['9479']"
"/M91457/01","['16702']"
"/M91518/01","['8273', '8693', '48442', '25203']"
"/M91433/01","['11291', '14898', '9000', '11321', '10049', '37690', '5107']"
"/M91594/01","['2126', '89284', '45655']"
"/M92898/01","['39423']"
"/M91686/01","['33271', '14115', '34745']"
"/M91204/01","['42725', '70095', '12642', '49125', '50725', '1949', '48452', '11031', '17146', '1484', '55264']"
"/M91624/01","['7389', '93270', '13526', '4088']"
"/N28375/01","['12426']"
"/N29600/01","['32116', '16248', '15990', '5922', '16172', '37633', '22008', '43858', '73370', '74097']"
"/N30545/01","['59145', '69316', '40975']"
"/N28849/01","['41809']"
"/N26838/01","['2212']"
"/N29785/01","['10482']"
"/N29648/01","['77463', '50454', '39316']"
"/N26890/01","['6811', '1396']"
"/N26944/01","['76828', '7933', '2419']"
"/N26524/01","['43651']"
"/N26791/01","['2106']"
"/N29051/01","['46433']"
"/N29143/01","['106']"
"/N29969/01","['76174', '52545', '77943']"
"/N28917/01","['52407', '29552']"
"/N26722/01","['42440', '16290', '783']"
"/N26753/01","['77459', '79400']"
"/M66370/01","['66614']"
"/M70476/01","['66895']"
"/N32228/01","['6625']"
"/N22816/01","['6619']"
"/N18567/01","['12204']"
"/N17287/01","['41840']"
"/N03358/01","['8108']"
"/R20113/01","['6378']"
"/R04386/01","['39732', '2545', '44683']"
"/R04423/01","['51123', '5025']"
"/R04386/02","['39732', '2545', '44683']"
"/N02825/01","['12009']"
"/N38312/01","['12558']"
"/N38787/01","['27183']"
"/N38787/02","['27183']"
"/N08704/01","['6714']"
"/N36608/01","['952']"
"/N23592/01","['12034']"
"/N23400/01","['39315', '45547', '85810']"
"/R20410/01","['1571']"
"/R10240/01","['10082']"
"/N65875/01","['61972']"
"/N15696/01","['58574', '52231']"
"/R11674/01","['37709']"
"/R22735/01","['34648']"
"/R03952/01","['11076']"
"/N27323/01","['40102']"
"/N38244/01","['27411']"
"/N22502/01","['4600']"
"/N06076/01","['4719']"
"/R01316/01","['11092']"
"/N17225/01","['48587']"
"/N24452/01","['39404', '6406']"
"/N02832/01","['4287']"
"/R00142/01","['7332']"
"/N64892/01","['40649']"
"/N63703/01","['26031']"
"/R16228/01","['32023']"
"/R12077/01","['16783']"
"/N24261/01","['27310']"
"/N65578/01","['2953']"
"/N03778/01","['36236']"
"/R19113/01","['7937']"
"/N38992/01","['7332']"
"/N12022/01","['127902']"
"/R13159/01","['5587']"
"/N19984/01","['32124']"
"/N23837/01","['-286983', '11589']"
"/R13821/01","['4553']"
"/N14484/01","['4315']"
"/R16365/01","['2253']"
"/N30743/01","['11262']"
"/R19502/01","['45099']"
"/N24537/01","['41202']"
"/N24940/01","['45640']"
"/M72081/01","['16056']"
"/R14668/01","['12423']"
"/N06311/01","['76588', '76672']"
"EP/E017215/1","['110493', '92000', '-16231']"
"EP/E050565/1","['126212']"
"EP/G001634/1","['7702', '-196766', '2715']"
"/R36794/01","['85513']"
"/R36794/02","['85513']"
"/M93178/01","['497']"
"/M93741/01","['6605', '15555']"
"/R03341/01","['7875']"
"EP/C51243X/1","['118599']"
"/S10445/01","['3488']"
"/S59994/01","['109313']"
"/S25975/01","['61610']"
"EP/G005613/1","['54555']"
"EP/E025129/1","['7713', '58252']"
"EP/E025226/1","['-15152']"
"EP/G022607/1","['58252', '7713']"
"/S24312/01","['61357', '53153']"
"EP/D060354/1","['57224']"
"EP/C005260/1","['106601', '94841']"
"/S00873/01","['55311', '91639', '81429']"
"EP/D037506/1","['1177', '7234']"
"/N66087/01","['45575']"
"/S82145/01","['54748', '110077']"
"/R23312/01","['30005', '40395', '34895', '59852', '4941', '51307']"
"EP/C52389X/1","['91615', '72084', '14808', '29233', '13851']"
"/N21932/01","['76769']"
"/R05369/01","['27091']"
"/S21113/01","['55294', '11612']"
"EP/D037883/1","['10491', '60191']"
"EP/F04027X/1","['34552', '56833']"
"EP/D077680/1","['71494', '17634']"
"/S02709/01","['45575']"
"/S73860/01","['71357']"
"/N07288/01","['74687', '3850']"
"/S61720/02","['87721', '44531', '4170', '18869', '105169']"
"/S61720/01","['87721', '44531', '4170', '18869']"
"EP/H008160/1","['22235', '-181217']"
"/N18413/01","['34616']"
"EP/D064155/1","['51118']"
"EP/D014573/1","['-3391', '-37778']"
"EP/C004140/2","['82611', '445']"
"EP/C004140/1","['82611', '445']"
"EP/E020976/1","['73601', '82828']"
"/N31337/01","['77540', '7831', '21323']"
"/N38503/01","['3896', '14993', '59607', '4477']"
"EP/E034802/1","['50506']"
"/S86938/01","['94170']"
"/N18673/01","['68959', '76291', '-415492']"
"/S67050/01","['34721']"
"/M91525/01","['16440', '3366', '13368']"
"EP/F02861X/1","['7918', '80335', '101021', '3414', '126212']"
"EP/C533305/1","['77266', '56688']"
"TS/G002916/1","['5922']"
"/S08329/01","['12861', '-26311']"
"/S08336/01","['14113']"
"/R30457/01","['57250', '15715', '21306', '70017']"
"/T05875/01","['83912', '9723', '16282', '10032']"
"EP/C534212/1","['44531', '76625', '3262', '5948', '30486', '225', '11780']"
"EP/F033125/1","['4770', '51630', '83265', '83179']"
"EP/D038847/1","['45429', '14366', '-81214']"
"EP/F020295/1","['85891']"
"/S70289/01","['17146', '85160', '49125', '50725', '48452', '42725', '44789', '42529', '89626', '11031', '55264', '110554', '71061']"
"EP/G030871/1","['-203186']"
"EP/D04779X/1","['50725', '85160', '89626', '55264', '48452', '17146', '3790', '71061']"
"/S20505/01","['8956']"
"/R89837/01","['33883', '2126', '3146', '78940', '9583', '27155', '11076', '89284', '43131']"
"/T19742/01","['83419', '89198']"
"/R83330/01","['51628']"
"/R11216/01","['59702']"
"/R96514/01","['53674', '82388', '29766']"
"/R04324/01","['44636']"
"/R04089/01","['30396', '10513', '58058']"
"/R12695/01","['32184', '22007', '26632', '32186', '81417']"
"EP/D030781/1","['17379', '8714', '-55699']"
"EP/E03697X/1","['16533', '10076', '21348', '434', '3146', '82213']"
"EP/F013515/1","['14472', '21338', '79581', '-25040']"
"/S74126/01","['1429', '66225', '67002']"
"/R47769/01","['40092', '81294', '6327', '10005', '61373', '21442']"
"EP/G070466/1","['-110248']"
"DT/E010415/1","['91993']"
"EP/F055579/1","['-8873', '-8737']"
"EP/F05551X/1","['6605', '94733', '10195']"
"EP/E040918/1","['-118428']"
"EP/C510097/1","['122537']"
"EP/F034253/1","['53020']"
"EP/G005451/1","['109496', '-198610']"
"DT/F00267X/1","['42529']"
"/R08346/01","['14032', '12170', '5735', '46296', '75644']"
"/R11506/01","['81032']"
"/R28232/01","['10652', '7052']"
"/R28249/01","['2683', '37796']"
"EP/E002323/1","['4180', '81375', '34219', '85637', '32028', '48939', '39084', '45461', '-115198', '37707', '12737', '2317', '81738', '6882', '12618', '14484', '38', '619', '15810', '2589', '94036', '2627', '72895', '74046', '8111', '3262', '79834', '17189', '22032', '17707', '59876', '106090', '29835', '61302', '106432', '30483', '28454', '64187', '64999', '70697', '83912', '34519', '29712']"
"/R64483/01","['30483', '61302', '74046', '15810', '32028', '8111', '11536', '4180', '39084', '2627', '2317', '64999', '17707', '70697', '6882', '3262', '81375', '28454', '85637', '34519']"
