"GR/N24537/01","['Optical Phenomena']"
"GR/N24940/01","['Artificial Intelligence', 'Networks & Distributed Systems']"
"GR/M72081/01","['Eng. Dynamics & Tribology', 'Fluid Dynamics']"
"GR/R14668/01","['Condensed Matter Physics']"
"GR/N06311/01","['Manufact. Enterprise Ops& Mgmt']"
"EP/E017215/1","['Artificial Intelligence', 'Population Ecology', 'Theoretical biology']"
"EP/E050565/1","['Instrumentation Eng. & Dev.', 'Lasers & Optics']"
"EP/G001634/1","['Computer Graphics & Visual.']"
"GR/R36794/01","['Catalysis & Applied Catalysis']"
"GR/R36794/02","['Catalysis & Applied Catalysis']"
"GR/M93178/01","['Electronic Devices & Subsys.']"
"GR/M93741/01","['Electronic Devices & Subsys.']"
"GR/R03341/01","['Materials Characterisation']"
"EP/C51243X/1","['Asymmetric Chemistry', 'Chemical Synthetic Methodology']"
"GR/S10445/01","['Chemical Synthetic Methodology']"
"GR/S59994/01","['Optoelect. Devices & Circuits']"
"GR/S25975/01","['Lasers & Optics']"
"EP/G005613/1","['Fundamentals of Computing']"
"EP/E025129/1","['Chemical Structure']"
"EP/E025226/1","['Chemical Structure']"
"EP/G022607/1","['Analytical Science']"
"GR/S24312/01","['Nuclear Structure']"
"EP/D060354/1","['Networks & Distributed Systems']"
"EP/C005260/1","['Nuclear Structure']"
"GR/S00873/01","['Human-Computer Interactions']"
"EP/D037506/1","['Transport Ops & Management']"
"GR/N66087/01","['Cognitive Science Appl. in ICT']"
"GR/S82145/01","['Fundamentals of Computing']"
"GR/R23312/01","['Materials Characterisation', 'Optoelect. Devices & Circuits']"
"EP/C52389X/1","['Instrumentation Eng. & Dev.']"
"GR/N21932/01","['Mathematical Physics']"
"GR/R05369/01","['Coastal & Waterway Engineering']"
"GR/S21113/01","['Combustion']"
"EP/D037883/1","['Civil Engineering Materials']"
"EP/F04027X/1","['Materials Characterisation']"
"EP/D077680/1","['Artificial Intelligence']"
"GR/S02709/01","['Human-Computer Interactions']"
"GR/S73860/01","['Co-ordination Chemistry']"
"GR/N07288/01","['Power Electronics']"
"GR/S61720/02","['Instrumentation Eng. & Dev.', 'Lasers & Optics']"
"GR/S61720/01","['Instrumentation Eng. & Dev.', 'Lasers & Optics']"
"EP/H008160/1","['Music & Acoustic Technology']"
