Source	Target	Type	Weight	Val
18	97	Undirected	2.0	10175729
18	139	Undirected	2.0	10175729
18	201	Undirected	2.0	10175729
18	211	Undirected	2.0	10175729
32	97	Undirected	4.0	20464821
32	139	Undirected	3.0	15644397
32	201	Undirected	3.0	15644397
32	211	Undirected	3.0	15644397
97	139	Undirected	3.0	15644397
97	201	Undirected	3.0	15644397
97	211	Undirected	3.0	15644397
139	201	Undirected	4.0	17209779
139	211	Undirected	4.0	20335521
5	15	Undirected	1.0	4884594
5	79	Undirected	2.0	9804800
5	160	Undirected	2.0	5089031
15	33	Undirected	1.0	4884594
15	79	Undirected	3.0	16333795
15	160	Undirected	3.0	16333795
33	79	Undirected	1.0	4884594
33	160	Undirected	1.0	4884594
79	160	Undirected	8.0	22849478
5	20	Undirected	2.0	8423103
5	106	Undirected	3.0	11903494
5	136	Undirected	5.0	14362004
20	32	Undirected	1.0	3502897
20	106	Undirected	1.0	3502897
20	136	Undirected	15.0	36932365
32	106	Undirected	2.0	10684342
32	136	Undirected	4.0	16431091
106	136	Undirected	5.0	13723658
5	158	Undirected	4.0	11111182
109	158	Undirected	4.0	2697407
5	125	Undirected	1.0	132415
5	93	Undirected	1.0	23578
29	77	Undirected	9.0	11608690
29	93	Undirected	3.0	3628361
29	127	Undirected	10.0	13944001
77	93	Undirected	2.0	3289944
77	127	Undirected	4.0	7295328
93	127	Undirected	2.0	1680087
29	32	Undirected	6.0	4580561
5	24	Undirected	2.0	3397665
5	108	Undirected	1.0	2992297
24	108	Undirected	1.0	2992297
5	31	Undirected	1.0	1425873
18	31	Undirected	1.0	1425873
5	11	Undirected	1.0	708512
5	22	Undirected	1.0	7181445
5	213	Undirected	2.0	7686709
17	22	Undirected	1.0	7181445
17	106	Undirected	1.0	7181445
17	136	Undirected	3.0	19824552
17	213	Undirected	3.0	18345191
18	22	Undirected	1.0	7181445
18	106	Undirected	1.0	7181445
18	136	Undirected	1.0	7181445
18	213	Undirected	1.0	7181445
22	32	Undirected	1.0	7181445
22	106	Undirected	1.0	7181445
22	136	Undirected	7.0	10446939
22	213	Undirected	1.0	7181445
32	213	Undirected	1.0	7181445
106	213	Undirected	1.0	7181445
136	213	Undirected	11.0	37653933
24	32	Undirected	2.0	407583
24	34	Undirected	1.0	405368
69	158	Undirected	4.0	17478395
106	109	Undirected	6.0	5277312
5	204	Undirected	4.0	4642892
5	27	Undirected	1.0	920060
27	34	Undirected	1.0	920060
5	130	Undirected	1.0	4920206
20	79	Undirected	1.0	4920206
20	130	Undirected	4.0	8214017
79	130	Undirected	1.0	4920206
34	109	Undirected	4.0	4852000
29	96	Undirected	14.0	19243485
37	204	Undirected	2.0	2114959
77	204	Undirected	4.0	1857540
29	109	Undirected	1.0	498474
96	109	Undirected	3.0	1987555
34	204	Undirected	5.0	2225570
5	138	Undirected	1.0	505264
138	213	Undirected	5.0	11060308
29	204	Undirected	7.0	4056836
32	96	Undirected	5.0	2956691
5	117	Undirected	1.0	204437
5	128	Undirected	1.0	204437
29	117	Undirected	1.0	204437
29	128	Undirected	2.0	6807891
29	160	Undirected	1.0	204437
117	128	Undirected	1.0	204437
117	160	Undirected	1.0	204437
128	160	Undirected	6.0	7549712
6	9	Undirected	1.0	506361
6	69	Undirected	1.0	506361
6	148	Undirected	1.0	506361
9	69	Undirected	4.0	2575792
9	148	Undirected	7.0	6765276
69	148	Undirected	8.0	14661338
7	39	Undirected	1.0	1581410
7	45	Undirected	1.0	1581410
